UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
101480,2,"R",628300,"R",42524,"R",318,"R",10071,"R",176970,"R",73841,"R",135686,"R",712212,"R",355498,"R",1067710,"R",15331,"R",120999,"R",136330,1,"R",2306,"R",185,"R",0,"R",1438058,2,"Z",0,"R",360976,"R",600031,"R",15000,"R",976007,"R",30000,"R",470830,"R",500830,"R",2914895,2914895
101499,2,"R",37200,"R",18,"R",4,"R",5065,"R",0,"R",118,"Z",0,"R",42383,"R",22,"R",42405,"R",2306,"R",1130,"R",3436,1,"R",0,"R",0,"R",1,"R",210002,1,"R",67926,"R",13118,"R",12607,"R",1935,"R",27660,"R",0,"R",8729,"R",8729,"R",314317,246391
101505,2,"R",63402,"R",355106,"R",21,"R",258,"R",0,"R",214,"R",57,"R",63874,"R",355184,"R",419058,"R",3411,"R",32990,"R",36401,2,"A",,"A",,"R",3,"R",416100,1,"R",137637,"R",7034,"R",171579,"R",28860,"R",207473,"R",0,"R",2943,"R",2943,"R",764153,626516
101514,2,"R",48526,"R",48944,"R",8,"R",227,"R",0,"R",0,"R",0,"R",48753,"R",48952,"R",97705,"R",2472,"R",6445,"R",8917,1,"R",0,"R",74,"R",1,"R",352225,1,"R",120312,"R",32788,"R",16280,"R",32121,"R",81189,"R",386,"R",81205,"R",81591,"R",635317,515005
101541,2,"R",59307,"R",334867,"R",82,"R",5878,"R",75616,"R",43,"R",44447,"R",65228,"R",455012,"R",520240,"R",1228,"R",3572,"R",4800,1,"R",174,"R",389,"R",0,"R",122334,2,"Z",0,"R",17630,"R",32213,"R",1862,"R",51705,"R",2933,"R",43891,"R",46824,"R",220863,220863
101569,2,"R",47522,"R",48676,"R",84,"R",2118,"Z",0,"R",0,"R",0,"R",49640,"R",48760,"R",98400,"R",12411,"R",3156,"R",15567,2,"A",,"A",,"R",1,"R",406008,1,"R",137687,"R",61890,"R",10100,"R",710,"R",72700,"R",0,"R",29000,"R",29000,"R",645395,507708
101587,2,"R",160781,"R",1789,"R",177,"R",2289,"R",0,"R",41794,"R",96027,"R",204864,"R",97993,"R",302857,"R",1974,"R",500,"R",2474,1,"R",307,"R",184,"R",1,"R",430556,2,"Z",0,"R",33614,"R",191513,"R",3927,"R",229054,"R",4846,"R",17412,"R",22258,"R",681868,681868
101602,2,"R",36208,"R",41581,"R",46,"R",2203,"R",25962,"R",34,"R",0,"R",38445,"R",67589,"R",106034,"R",997,"R",293,"R",1290,1,"R",15,"R",41,"R",3,"R",184787,1,"R",67768,"R",18613,"R",26448,"R",4743,"R",49804,"R",0,"R",0,"R",0,"R",302359,234591
101648,2,"R",27762,"R",0,"R",4,"R",1047,"R",0,"R",936,"R",0,"R",29745,"R",4,"R",29749,"R",2151,"R",6567,"R",8718,1,"R",0,"R",0,"R",0,"R",106288,1,"R",58119,"R",4478,"R",3086,"R",0,"R",7564,"R",0,"R",5900,"R",5900,"R",177871,119752
101675,2,"R",57301,"R",150000,"R",70,"R",1459,"R",0,"R",11422,"R",0,"R",70182,"R",150070,"R",220252,"R",1525,"R",750,"R",2275,1,"R",4,"R",2,"R",0,"R",250000,1,"R",29921,"R",0,"R",17108,"R",0,"R",17108,"R",16299,"R",0,"R",16299,"R",313328,283407
101693,2,"R",66697,"R",168216,"R",115,"R",625,"R",0,"R",138,"R",151115,"R",67460,"R",319446,"R",386906,"R",2940,"R",7500,"R",10440,1,"R",49,"R",44,"R",0,"R",253211,2,"Z",0,"R",45024,"R",134940,"R",0,"R",179964,"R",139,"R",29985,"R",30124,"R",463299,463299
101709,2,"R",198958,"R",18723,"R",124,"R",4269,"R",83491,"R",1537,"R",77765,"R",204764,"R",180103,"R",384867,"R",9729,"R",5428,"R",15157,1,"R",1259,"R",2014,"R",0,"R",573403,1,"R",135678,"R",68161,"R",248287,"R",7758,"R",324206,"R",4925,"R",70729,"R",75654,"R",1108941,973263
101736,2,"R",61555,"R",38143,"R",2,"R",4211,"R",0,"R",0,"R",0,"R",65766,"R",38145,"R",103911,"R",3168,"R",191,"R",3359,1,"R",16,"R",18,"R",1,"R",275984,1,"R",91064,"R",3611,"R",1030,"R",17742,"R",22383,"R",1328,"R",23712,"R",25040,"R",414471,323407
101879,2,"R",224081,"R",421886,"Z",0,"R",39346,"R",34016,"R",4086,"R",54780,"R",267513,"R",510682,"R",778195,"R",18213,"R",30263,"R",48476,1,"R",1913,"R",1115,"R",3,"R",1203966,1,"R",336678,"R",78466,"R",886499,"R",967,"R",965932,"R",7602,"R",203945,"R",211547,"R",2718123,2381445
101897,2,"R",53652,"R",52167,"R",48,"R",957,"R",131,"R",216,"R",2200,"R",54825,"R",54546,"R",109371,"R",5509,"R",1229,"R",6738,1,"R",23,"R",57,"R",0,"R",220726,1,"R",69195,"R",41711,"R",34941,"R",0,"R",76652,"R",3083,"R",41236,"R",44319,"R",410892,341697
101912,2,"R",72952,"R",276783,"R",88,"R",10215,"R",157251,"R",198,"R",310,"R",83365,"R",434432,"R",517797,"R",10265,"R",481257,"R",491522,1,"R",211,"R",121,"R",1,"R",419479,1,"R",211176,"R",31867,"R",169770,"R",4181,"R",205818,"R",2345,"R",7571,"R",9916,"R",846389,635213
101949,2,"R",33671,"R",75,"R",3,"R",1524,"R",0,"R",29,"R",0,"R",35224,"R",78,"R",35302,"R",2857,"R",2,"R",2859,2,"A",,"A",,"R",2,"R",201941,1,"R",95672,"R",0,"R",0,"R",37491,"R",37491,"R",0,"R",4006,"R",4006,"R",339110,243438
101994,2,"R",6402,"Z",0,"Z",0,"R",32,"Z",0,"R",38,"Z",0,"R",6472,"R",0,"R",6472,"R",1,"R",0,"R",1,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
