UNITID,PRGMOFR,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6 
105543,10,"51.0801","A",.,"A",.,"R",800,1,"R",9,"R",36,"R",900,"R",36,"R",11397,"R",11734,"R",12024,"R",12380,"R",562,"R",666,"R",670,"R",710,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9297,"R",9297,"R",9297,"R",6966,"R",3726,"R",3726,"R",3726,"R",5139,"R",1629,"R",1629,"R",1629,"R",1629,"51.3801","R",40190,"R",3775,"R",1664,1,"R",20,"51.0911","R",34260,"R",2290,"R",2872,1,"R",24,"51.0806","R",30270,"R",2333,"R",1586,1,"R",19,"51.0601","R",12615,"R",767,"R",720,1,"R",8,"51.0908","R",35630,"R",2406,"R",2016,1,"R",24,
105659,4,"15.0403","A",.,"A",.,"R",36,2,"R",10,"R",38,"R",24,"R",30,"R",18150,"R",18650,"R",18650,"R",19350,"R",1880,"R",1675,"R",1675,"R",1675,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10080,"R",8854,"R",9918,"R",10488,"R",5558,"R",7258,"R",8455,"R",8303,"R",3648,"R",5130,"R",5966,"R",5966,"15.0501","R",15710,"R",1340,"R",24,2,"R",6,"15.0503","R",28915,"R",3135,"R",63,2,"R",15,"46.0302","R",6825,"R",1145,"R",12,2,"R",3,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
105677,1,"47.0404","A",.,"A",.,"R",880,1,"R",5,"R",20,"R",900,"R",26,"R",10450,"R",10450,"R",10950,"R",10980,"R",2275,"R",2343,"R",2800,"R",3000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5420,"R",6980,"R",7190,"R",7445,"R",2425,"R",2500,"R",2575,"R",2650,"R",2425,"R",2500,"R",2575,"R",2650,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
105701,1,"12.0401","A",.,"A",.,"R",1600,1,"R",13,"R",52,"R",900,"R",40,"R",9450,"R",14410,"R",11340,"R",13608,"R",1000,"R",1000,"R",1000,"R",1000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5408,"R",8450,"R",5850,"R",7020,"R",975,"R",975,"R",975,"R",1105,"R",975,"R",975,"R",975,"R",1105,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
105987,7,"46.0302","A",.,"A",.,"R",37,2,"R",9,"R",36,"R",36,"R",36,"R",14682,"R",14682,"R",14682,"R",14682,"R",453,"R",453,"R",453,"R",453,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5616,"R",7632,"R",8676,"R",8784,"R",4455,"R",4968,"R",5823,"R",6210,"R",4455,"R",5688,"R",5823,"R",5976,"51.3902","R",14682,"R",453,"R",31,2,"R",9,"51.0801","R",14682,"R",453,"R",33,2,"R",9,"51.0805","R",14682,"R",453,"R",32,2,"R",9,"51.0713","R",14682,"R",453,"R",34,2,"R",9,"52.0401","R",14682,"R",453,"R",29,2,"R",9,
106041,27,"47.0604","A",.,"A",.,"R",90,2,"R",19,"R",75,"R",30,"R",30,"R",40900,"R",41900,"R",42950,"R",43950,"R",215,"R",215,"R",215,"R",215,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",12900,"R",12769,"R",12881,"R",13031,"R",11438,"R",11325,"R",11419,"R",11550,"R",7069,"R",6994,"R",7050,"R",11550,"47.0604","R",34200,"R",215,"R",61,2,"R",12,"47.0604","R",42900,"R",215,"R",81,2,"R",17,"47.0605","R",31300,"R",215,"R",54,2,"R",11,"47.0604","R",52650,"R",215,"R",110,2,"R",23,"47.0604","R",41150,"R",215,"R",77,2,"R",16,
106111,2,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",16000,"R",16750,"R",16950,"R",17424,"R",1550,"R",2100,"R",2350,"R",2750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7889,"R",8936,"R",8855,"R",8959,"R",8545,"R",7314,"R",7544,"R",7636,"R",8545,"R",7314,"R",7544,"R",7636,"12.0413","R",5200,"R",300,"R",650,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
106281,4,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",52,"R",900,"R",30,"R",11800,"R",12400,"R",12400,"R",12400,"R",1200,"R",1500,"R",1500,"R",1500,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4004,"R",4550,"R",4550,"R",4550,"R",3250,"R",3250,"R",3250,"R",3250,"R",650,"R",650,"R",650,"R",650,"12.0402","R",12400,"R",1500,"R",1500,1,"R",13,"12.0413","R",7650,"R",700,"R",600,1,"R",6,"12.0410","R",6800,"R",800,"R",600,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
106315,4,"12.0401","A",.,"A",.,"R",1500,1,"R",10,"R",40,"R",900,"R",30,"R",14250,"R",16125,"R",16125,"R",18540,"R",750,"R",1250,"R",1250,"R",1250,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7570,"R",7570,"R",10440,"R",11530,"R",2000,"R",2200,"R",5610,"R",5770,"R",2000,"R",2200,"R",2990,"R",3130,"12.0410","R",7416,"R",1250,"R",600,1,"R",6,"12.0409","R",7416,"R",1250,"R",600,1,"R",6,"13.1206","R",7416,"R",1250,"R",600,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
106324,3,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",10195,"R",12900,"R",14400,"R",14400,"R",900,"R",900,"R",1275,"R",1275,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7775,"R",7775,"R",7775,"R",7775,"R",3863,"R",3863,"R",3863,"R",3863,"R",3863,"R",3863,"R",3863,"R",3863,"12.0410","R",5150,"R",595,"R",600,1,"R",6,"12.0413","R",5150,"R",250,"R",600,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
