UNITID,PRGMOFR,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6 
410964,4,"12.0404","A",.,"A",.,"R",1100,1,"R",12,"R",46,"R",900,"R",38,"R",11475,"R",11475,"R",11200,"R",13200,"R",315,"R",315,"R",590,"R",590,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",15537,"R",15847,"R",16112,"R",17848,"R",7533,"R",7682,"R",7809,"R",8752,"R",10293,"R",10500,"R",10672,"R",5497,"12.0404","R",8800,"R",590,"R",600,1,"R",6,"12.0409","R",8200,"R",1250,"R",600,1,"R",6,"12.0409","R",4400,"R",925,"R",300,1,"R",3,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
411684,1,"51.3901","A",.,"A",.,"R",1534,1,"R",18,"R",70,"R",900,"R",35,"R",23010,"R",23852,"R",24619,"R",26153,"R",2990,"R",3148,"R",3381,"R",3647,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",21910,"R",22348,"R",23275,"R",24290,"R",8103,"R",8068,"R",8103,"R",8085,"R",8313,"R",8295,"R",8330,"R",8330,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
412003,2,"51.3501","A",.,"A",.,"R",96,2,"R",21,"R",84,"R",36,"R",52,"R",15540,"R",16992,"R",16992,"R",16992,"R",1155,"R",1237,"R",1237,"R",1237,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",18690,"R",18753,"R",18900,"R",18900,"R",5775,"R",6090,"R",6132,"R",6132,"R",5775,"R",6090,"R",6132,"R",6132,"51.3501","R",12213,"R",800,"R",69,2,"R",15,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
412173,6,"51.3801","A",.,"A",.,"R",87,2,"R",24,"R",96,"R",32,"R",32,"R",25200,"R",26113,"R",27113,"R",37000,"R",1833,"R",1833,"R",1833,"R",2000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",24648,"R",25320,"R",25320,"R",25632,"R",9840,"R",10152,"R",10152,"R",21816,"R",3840,"R",4608,"R",4872,"R",15528,"51.3999","R",22700,"R",800,"R",1518,1,"R",13,"51.3902","R",6310,"R",138,"R",603,1,"R",5,"51.2604","R",6310,"R",138,"R",603,1,"R",5,"51.3902","R",2531,"R",69,"R",240,1,"R",3,"51.3999","R",27200,"R",1400,"R",87,2,"R",24,
412535,1,"51.3901","A",.,"A",.,"R",1110,1,"R",10,"R",40,"R",1100,"R",40,"R",9850,"R",10350,"R",10575,"R",10650,"R",1250,"R",1250,"R",1470,"R",2500,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6610,"R",6610,"R",6930,"R",10630,"R",1650,"R",1650,"R",1640,"R",5200,"R",4000,"R",3570,"R",3740,"R",4200,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
412544,5,"12.0401","A",.,"A",.,"R",1000,1,"R",8,"R",31,"R",1000,"R",31,"R",10726,"R",10726,"R",13740,"R",13740,"R",1074,"R",1074,"R",1160,"R",1160,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9509,"R",10703,"R",10641,"R",10641,"R",3364,"R",4162,"R",4348,"R",4348,"R",1798,"R",2155,"R",2550,"R",2550,"12.0402","R",9020,"R",1080,"R",600,1,"R",6,"12.0410","R",2100,"R",700,"R",250,1,"R",2,"12.0409","R",9236,"R",864,"R",600,1,"R",6,"12.0499","R",710,"R",165,"R",75,1,"R",1,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
412650,3,"49.0205","A",.,"A",.,"R",240,1,"R",2,"R",8,"R",900,"R",36,"R",4595,"R",4745,"R",4745,"R",4745,"R",150,"R",150,"R",150,"R",150,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",700,"R",700,"R",700,"R",700,"R",150,"R",150,"R",150,"R",150,"R",150,"R",150,"R",150,"R",150,"49.0205","R",3495,"R",150,"R",160,1,"R",1,"49.0205","R",4095,"R",150,"R",200,1,"R",2,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
413176,5,"51.3901","A",.,"A",.,"R",1350,1,"R",12,"R",48,"R",900,"R",36,"R",5669,"R",5669,"R",5669,"R",5669,"R",2017,"R",2017,"R",2017,"R",2017,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5400,"R",5400,"R",5400,"R",6000,"R",1500,"R",1500,"R",2400,"R",2400,"R",1380,"R",1440,"R",2400,"R",2400,"46.0302","R",3100,"R",1000,"R",1080,1,"R",10,"46.0101","R",2800,"R",1000,"R",1080,1,"R",10,"46.0503","R",3100,"R",1000,"R",1080,1,"R",10,"52.0201","R",2700,"R",1000,"R",1080,1,"R",10,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
413343,2,"12.0401","A",.,"A",.,"R",1600,1,"R",14,"R",54,"R",900,"R",30,"R",11800,"R",11800,"R",11800,"R",13700,"R",100,"R",100,"R",100,"R",100,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4050,"R",4050,"R",4050,"R",4050,"R",2444,"R",2444,"R",2444,"R",2444,"R",2376,"R",2376,"R",2376,"R",2376,"12.0413","R",5200,"A",.,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
413680,1,"47.0607","A",.,"A",.,"R",2100,1,"R",18,"R",70,"R",900,"R",30,"R",35092,"R",35092,"R",35092,"R",35950,"R",1950,"R",1950,"R",1950,"R",2100,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",21910,"R",22348,"R",23275,"R",24290,"R",6020,"R",6090,"R",6055,"R",8593,"R",8785,"R",8943,"R",6055,"R",9660,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
413778,4,"51.3902","A",.,"A",.,"R",28,2,"R",6,"R",24,"R",32,"R",26,"R",7425,"R",5000,"R",17600,"R",5025,"R",125,"R",125,"R",1550,"R",125,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4080,"R",4080,"R",9630,"R",10080,"R",4842,"R",4842,"R",1590,"R",1590,"R",3312,"R",3312,"R",1590,"R",1590,"51.0801","R",17625,"R",2150,"R",54,2,"R",12,"51.0710","R",17625,"R",2150,"R",54,2,"R",12,"51.0601","R",17625,"R",2150,"R",51,2,"R",12,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
413802,11,"51.0801","A",.,"A",.,"R",945,1,"R",12,"R",48,"R",945,"R",48,"R",5650,"R",6615,"R",6615,"R",6300,"R",352,"R",352,"R",352,"R",477,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4596,"R",4596,"R",14616,"R",16656,"R",2868,"R",2868,"R",3792,"R",3888,"R",3132,"R",3132,"R",4140,"R",4236,"13.1210","R",6300,"R",16,"R",900,1,"R",12,"51.0904","R",4200,"R",307,"R",600,1,"R",6,"51.3902","R",4200,"R",235,"R",600,1,"R",6,"43.0107","R",4305,"R",208,"R",615,1,"R",6,"11.0701","R",4305,"R",185,"R",615,1,"R",6,
413820,4,"12.0401","A",.,"A",.,"R",1500,1,"R",11,"R",44,"R",900,"R",26,"R",11500,"R",11500,"R",12000,"R",12750,"R",1225,"R",1225,"R",1225,"R",1275,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5533,"R",6600,"R",7150,"R",7150,"R",2750,"R",2750,"R",2750,"R",2750,"R",2750,"R",2750,"R",2750,"R",2750,"12.0409","R",5100,"R",900,"R",600,1,"R",5,"12.0410","R",5100,"R",900,"R",600,1,"R",5,"12.0413","R",8500,"R",675,"R",1000,1,"R",12,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
413893,4,"51.0801","A",.,"A",.,"R",34,2,"R",9,"R",34,"R",32,"R",34,"R",18300,"R",19500,"R",19500,"R",19500,"R",0,"R",0,"R",0,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10642,"R",7531,"R",11305,"R",9172,"R",3936,"R",3919,"R",4182,"R",7803,"R",4038,"R",4029,"R",4182,"R",7803,"51.0601","R",19500,"R",0,"R",35,2,"R",9,"52.0408","R",18500,"R",0,"R",32,2,"R",9,"47.0104","R",19500,"R",0,"R",32,2,"R",9,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
413945,1,"12.0401","A",.,"A",.,"R",1500,1,"R",11,"R",44,"R",900,"R",26,"R",14100,"R",15100,"R",16000,"R",16000,"R",2650,"R",2650,"R",2915,"R",3047,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",14168,"R",14707,"R",15653,"R",15213,"R",5225,"R",5379,"R",5445,"R",5445,"R",5225,"R",5379,"R",5445,"R",5445,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
413972,1,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",52,"R",900,"R",30,"R",13750,"R",14750,"R",14280,"R",14280,"A",.,"A",.,"R",1670,"R",1670,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",17875,"R",19175,"R",19175,"R",19175,"R",5200,"R",5850,"R",6175,"R",6175,"R",5200,"R",5850,"R",6175,"R",6175,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
414054,2,"12.0401","A",.,"A",.,"R",1500,1,"R",16,"R",62,"R",900,"R",33,"R",14750,"R",16195,"R",17040,"R",17040,"R",900,"R",1630,"R",2760,"R",2760,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8463,"R",8463,"R",8463,"R",8463,"R",2496,"R",2496,"R",2496,"R",2496,"R",2139,"R",2139,"R",2139,"R",2139,"12.0413","R",4300,"R",100,"R",500,1,"R",4,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
414063,3,"12.0401","A",.,"A",.,"R",1200,1,"R",10,"R",40,"R",900,"R",30,"R",15600,"R",15600,"R",15600,"R",15600,"R",1600,"R",1800,"R",1800,"R",1800,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",11050,"R",10550,"R",10440,"R",6400,"R",6100,"R",8630,"R",8900,"R",11800,"R",4030,"R",6120,"R",6280,"R",8980,"12.0409","R",7800,"R",1320,"R",600,1,"R",5,"12.0413","R",6500,"R",1800,"R",500,1,"R",4,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
414124,8,"47.0604","A",.,"A",.,"R",22,2,"R",7,"R",27,"R",24,"R",30,"R",13950,"R",13950,"R",14050,"R",15050,"R",100,"R",100,"R",100,"R",100,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5954,"R",5954,"R",5954,"R",5954,"R",689,"R",689,"R",689,"R",810,"R",1553,"R",1553,"R",1553,"R",1553,"51.0801","R",15650,"R",100,"R",24,2,"R",7,"47.0201","R",16350,"R",100,"R",24,2,"R",7,"47.0104","R",15850,"R",100,"R",24,2,"R",7,"51.0705","R",15600,"R",100,"R",24,2,"R",7,"46.0401","R",15050,"R",100,"R",24,2,"R",6,
414452,9,"12.0401","A",.,"A",.,"R",2300,1,"R",17,"R",67,"R",1150,"R",30,"R",14950,"R",14950,"R",15410,"R",15410,"R",3912,"R",3912,"R",4252,"R",4252,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6348,"R",8375,"R",8375,"R",8375,"R",3032,"R",3518,"R",3518,"R",3518,"R",3032,"R",3518,"R",3518,"R",3518,"12.0407","R",11420,"R",2470,"R",1700,1,"R",12,"12.0402","R",9180,"R",2221,"R",1350,1,"R",10,"12.0499","R",7990,"R",2340,"R",850,1,"R",6,"12.0410","R",5640,"R",1311,"R",600,1,"R",5,"12.0409","R",4700,"R",1587,"R",500,1,"R",4,
414489,4,"12.0401","A",.,"A",.,"R",1500,1,"R",12,"R",48,"R",900,"R",30,"R",12200,"R",12200,"R",13600,"R",13600,"R",1700,"R",1700,"R",1700,"R",1700,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10800,"R",10992,"R",11184,"R",11184,"R",4464,"R",4560,"R",4800,"R",4800,"R",4464,"R",4560,"R",3984,"R",3984,"12.0410","R",4300,"R",500,"R",600,1,"R",6,"12.0409","R",7800,"R",600,"R",750,1,"R",7,"12.0413","R",6000,"R",200,"R",750,1,"R",7,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
414540,3,"12.0401","A",.,"A",.,"R",1250,1,"R",14,"R",57,"R",900,"R",30,"R",17630,"R",17630,"R",17680,"R",17680,"R",1000,"R",1000,"R",2200,"R",2200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",11072,"R",11072,"R",11486,"R",11486,"R",6612,"R",6612,"R",10502,"R",10502,"R",6612,"R",6612,"R",10502,"R",10502,"12.0409","R",3825,"R",500,"R",300,1,"R",3,"12.0413","R",7150,"R",150,"R",500,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
414869,4,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",975,"R",26,"R",17800,"R",17800,"R",18334,"R",18334,"R",2750,"R",2950,"R",2950,"R",3050,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",14113,"R",13188,"R",13050,"R",9125,"R",7825,"R",10788,"R",7013,"R",7763,"R",5150,"R",7650,"R",7650,"R",7763,"12.0409","R",13184,"R",2350,"R",750,1,"R",9,"12.0410","R",6900,"R",2250,"R",600,1,"R",7,"12.0413","R",7000,"R",1900,"R",1000,1,"R",12,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
414939,6,"51.0801","A",.,"A",.,"R",900,1,"R",10,"R",40,"R",900,"R",40,"R",12985,"R",14495,"R",15395,"R",15593,"A",.,"A",.,"A",.,"R",402,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",12620,"R",12770,"R",13300,"R",14770,"R",5540,"R",6550,"R",5640,"R",5700,"R",5020,"R",6680,"R",5350,"R",5850,"51.0909","R",31258,"R",542,"R",1810,1,"R",15,"51.0714","R",15454,"R",541,"R",900,1,"R",9,"51.3999","R",33247,"R",653,"R",1701,1,"R",15,"51.3501","R",15774,"R",221,"R",940,1,"R",9,"51.2211","R",30195,"R",1705,"R",2880,1,"R",20,
415039,2,"12.0401","A",.,"A",.,"R",1250,1,"R",9,"R",36,"R",900,"R",26,"R",14679,"R",15429,"R",15579,"R",16075,"R",1550,"R",2100,"R",2350,"R",2750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5220,"R",5913,"R",5859,"R",5931,"R",5652,"R",4842,"R",4986,"R",5049,"R",5652,"R",4842,"R",4986,"R",5049,"12.0413","R",7500,"R",300,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
415057,3,"46.0302","A",.,"A",.,"R",900,1,"R",19,"R",75,"R",900,"R",52,"R",15750,"R",16250,"R",16700,"R",16700,"R",1750,"R",1750,"R",1750,"R",1750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",25875,"R",25875,"R",25875,"R",25875,"R",938,"R",938,"R",938,"R",938,"R",938,"R",938,"R",938,"R",938,"46.0503","R",17235,"R",1640,"R",926,1,"R",19,"15.0501","R",17385,"R",1640,"R",938,1,"R",20,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
415729,4,"15.1302","A",.,"A",.,"R",54,2,"R",10,"R",38,"R",37,"R",30,"R",11050,"R",11050,"R",11050,"R",11050,"R",1850,"R",1850,"R",1850,"R",1850,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8550,"R",8674,"R",8674,"R",8674,"R",9339,"R",8968,"R",8968,"R",1900,"R",9339,"R",8968,"R",8968,"R",1900,"51.0716","R",11205,"R",1695,"R",54,2,"R",9,"52.0401","R",11510,"R",1390,"R",52,2,"R",9,"22.0301","R",11470,"R",1430,"R",55,2,"R",9,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
415987,1,"51.0801","A",.,"A",.,"R",900,1,"R",9,"R",36,"R",900,"R",36,"R",16080,"R",16080,"R",16080,"R",16280,"R",578,"R",578,"R",578,"R",578,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10125,"R",10305,"R",10395,"R",10674,"R",4464,"R",4410,"R",3645,"R",4518,"R",4464,"R",4410,"R",3645,"R",4518,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
416458,8,"51.3999","A",.,"A",.,"R",77,2,"R",15,"R",60,"R",38,"R",30,"R",25016,"R",26552,"R",26800,"R",26800,"R",6784,"R",5773,"R",5715,"R",5715,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",18780,"R",19155,"R",19950,"R",20820,"R",6945,"R",6915,"R",6945,"R",6930,"R",7125,"R",7110,"R",7140,"R",7140,"51.0909","R",21295,"R",1960,"R",65,2,"R",14,"51.1012","R",10685,"R",870,"R",33,2,"R",8,"51.0801","R",13925,"R",1470,"R",39,2,"R",9,"11.0301","R",8705,"R",1035,"R",27,2,"R",6,"52.0302","R",8905,"R",1285,"R",27,2,"R",6,
416670,3,"12.0401","A",.,"A",.,"R",1500,1,"R",12,"R",48,"R",900,"R",30,"R",14595,"R",15375,"R",15750,"R",15750,"R",1250,"R",1885,"R",2000,"R",2000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6672,"R",7764,"R",8136,"R",8136,"R",2520,"R",2748,"R",2940,"R",2940,"R",2748,"R",2868,"R",2952,"R",2952,"12.0410","R",6300,"R",1000,"R",600,1,"R",5,"12.0409","R",7875,"R",1000,"R",750,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
417008,1,"12.0401","A",.,"A",.,"R",1500,1,"R",11,"R",43,"R",900,"R",26,"R",15600,"R",16000,"R",16000,"R",16000,"R",2000,"R",2500,"R",2500,"R",2500,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",11890,"R",11341,"R",11341,"R",11341,"R",6568,"R",7450,"R",7450,"R",7450,"R",4332,"R",6579,"R",6579,"R",6579,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
417062,2,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",48,"R",900,"R",26,"R",12575,"R",12575,"R",13000,"R",13500,"R",1800,"R",1800,"R",1800,"R",1800,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",15024,"R",15324,"R",15960,"R",16692,"R",5556,"R",5532,"R",5556,"R",5556,"R",5700,"R",5688,"R",5712,"R",5712,"12.0410","R",1695,"R",500,"R",400,1,"R",3,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
417105,8,"46.0302","A",.,"A",.,"R",900,1,"R",10,"R",40,"R",900,"R",26,"R",1650,"R",1650,"R",1650,"R",1650,"R",620,"R",650,"R",1065,"R",1165,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9390,"R",9390,"R",9390,"R",9370,"R",2370,"R",3470,"R",3470,"R",3690,"R",2370,"R",3470,"R",3470,"R",3690,"51.0801","R",1500,"R",519,"R",1002,1,"R",13,"12.0401","R",3050,"R",1779,"R",1600,1,"R",12,"12.0505","R",5190,"R",625,"R",912,1,"R",12,"12.0402","R",2745,"R",1776,"R",1500,1,"R",19,"51.0805","R",750,"R",543,"R",810,1,"R",8,
417123,29,"52.0301","A",.,"A",.,"R",910,1,"R",7,"R",26,"R",900,"R",26,"R",7049,"R",7010,"R",7010,"R",5710,"R",732,"R",740,"R",740,"R",1117,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7917,"R",8301,"R",8645,"R",9022,"R",3010,"R",2997,"R",3010,"R",3094,"R",3088,"R",3081,"R",3094,"R",3094,"11.1001","R",7010,"R",740,"R",1120,1,"R",8,"15.1305","R",6110,"R",252,"R",980,1,"R",7,"51.0801","R",7010,"R",1442,"R",1120,1,"R",8,"52.0299","R",7460,"R",1276,"R",1190,1,"R",9,"10.0303","R",6510,"R",710,"R",1050,1,"R",8,
417178,3,"51.3901","A",.,"A",.,"R",1680,1,"R",17,"R",66,"R",1100,"R",44,"R",11550,"R",11550,"R",11550,"R",11550,"R",2700,"R",2700,"R",2700,"R",2700,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",16500,"R",16500,"R",16500,"R",8250,"R",4125,"R",4125,"R",4125,"R",4125,"R",4125,"R",4125,"R",4125,"R",4125,"51.0601","R",3710,"R",1400,"R",1080,1,"R",10,"51.0909","R",3710,"R",1000,"R",1050,1,"R",10,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
417187,1,"51.3901","A",.,"A",.,"R",1680,1,"R",17,"R",66,"R",1100,"R",44,"R",11550,"R",11550,"R",11550,"R",11550,"R",2700,"R",2700,"R",2700,"R",2650,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",19388,"R",19388,"R",19388,"R",19388,"R",1650,"R",1650,"R",1650,"R",1650,"R",1650,"R",1650,"R",1650,"R",1650,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
417248,1,"47.0608","A",.,"A",.,"R",2340,1,"R",22,"R",88,"R",1170,"R",44,"R",6576,"R",6576,"R",6576,"R",6576,"R",1200,"R",1200,"R",1200,"R",1200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",25300,"R",25300,"R",25300,"R",22000,"R",13200,"R",13200,"R",13200,"R",7700,"R",5500,"R",5500,"R",5500,"R",5500,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
