UNITID,CIPTUIT1,CHG1PY0,CHG1PY1,CHG1PY2,CHG1PY3
159601,.,8500,9500,9500,9500
160117,.,15255,13965,15500,15510
160126,.,13500,13500,13500,13500
160135,.,13965,13965,15500,15510
160199,.,11610,11610,11610,12010
160320,.,18000,18000,18000,18000
160445,.,16600,16600,16660,16550
160472,.,13390,13390,13390,15305
160597,.,13000,13000,13000,12900
160995,.,16770,16026,20245,20285
161493,.,15000,15750,15750,15750
161527,.,14500,14500,14500,14500
161615,.,16000,16000,16000,16000
161651,.,12100,12100,15000,15000
161776,.,15137,15272,15272,15522
161800,.,17995,18995,19425,19425
161855,.,15150,16650,16650,16650
162335,.,15675,16144,16444,16444
162371,.,15950,15950,15950,17819
162830,.,17035,17035,17035,17060
162982,.,29500,29500,29775,29775
163028,.,29676,30564,30564,31176
163107,.,15150,16650,16650,16650
163347,.,17011,17011,17011,18449
163408,.,17995,18995,19425,19425
163541,.,17995,17995,17995,17995
163736,.,15123,15258,15258,15778
163754,.,17047,17047,17047,17751
163815,.,15150,16650,16650,16650
164058,.,15273,15273,15273,15523
164535,.,12207,10877,10926,10460
164599,13975,.,.,.,.
164678,.,19995,19995,19995,19265
164845,.,11200,11950,11950,11950
165060,.,46974,47863,49219,49219
165255,.,13849,13849,13849,14448
165556,.,15539,15539,15539,16445
165608,.,13275,15215,16615,17115
165635,.,34000,35000,35000,35500
165750,.,12500,12500,14000,14000
166009,.,49575,48875,48875,48875
166498,.,12790,12840,13065,13065
166586,.,11450,11750,11750,11950
166595,.,11450,11750,11750,11950
166805,.,11950,11950,12750,12750
166975,.,11982,12007,12007,11537
167039,.,12500,12500,14000,14000
167297,.,45150,47400,49758,49950
167738,.,16100,16100,16100,16100
167871,.,8476,8500,10125,11125
168032,.,12500,12500,14000,14000
168555,.,15750,15750,15750,17150
168573,.,15956,15956,15956,15956
168892,.,7850,7300,7400,7500
169071,.,8475,8475,8475,8575
169284,.,15180,16020,16020,16020
169503,.,13150,14150,14150,14150
169576,.,26400,26970,27400,27400
169813,.,13500,13700,14800,14800
169947,.,6800,6800,7400,7475
170611,.,13175,13175,13175,14171
170736,.,9200,9700,9700,10900
171012,.,9600,10090,10090,10961
171261,.,14325,14325,14325,16325
171322,.,34583,34574,27666,28645
171465,.,12000,12000,12000,12000
171775,.,14825,14825,14825,15825
171988,.,15680,15680,15740,15740
171997,.,15680,15680,15740,15740
172015,.,15680,15680,15740,15740
172325,16500,.,.,.,.
172495,.,15300,15300,15300,15300
172680,.,11515,11515,11515,16015
172802,.,9400,12100,12100,12100
172927,.,5150,5150,6920,6920
173470,.,15400,15500,15500,15500
173726,.,15400,15500,15500,15500
173744,.,18000,18550,18650,19000
173966,21328,.,.,.,.
174190,.,18600,18600,18600,18600
174321,.,14821,14821,15499,14550
174978,.,15717,16467,16467,16461
175120,.,5400,5400,5400,5400
175494,.,10900,10900,10900,10900
175607,.,9100,9350,13675,18290
175698,.,13200,13200,13200,13200
175722,.,10169,13020,13900,13900
176062,.,10875,11070,11175,11175
176390,.,13870,13870,13870,13870
176716,.,16300,17000,17000,17800
176798,.,8122,8432,8598,8372
176983,.,5515,5715,5815,6050
176992,.,12500,13300,13300,13000
177056,.,12515,12715,12815,12723
177287,.,15075,15075,15075,15450
177302,.,19315,19315,20465,20465
177588,.,16300,17000,17800,17800
177603,.,15150,15150,15150,15150
177685,.,11040,13600,13875,13875
177931,.,10738,11262,11355,11835
178077,.,13650,13650,14700,15150
178183,.,14680,14680,14680,14680
178262,.,15700,15700,15500,15500
178314,.,7810,9310,9310,13785
178466,.,10576,10784,10369,10432
178484,.,15700,15700,15500,15500
178527,.,9850,9850,9850,9850
178828,.,10092,11311,11311,11361
179052,.,10650,10650,10650,10650
179195,.,9200,9400,9400,9600
179229,.,12750,12750,12750,12750
179238,.,7810,8110,8500,8500
179511,.,15465,15200,15415,14845
179991,.,11665,11665,11665,11665
180063,.,10950,10950,10950,10950
180090,.,10800,10800,10800,10800
180391,.,12600,12660,13160,13160
180771,.,18660,18660,18660,18660
180957,.,18920,19430,19430,19430
181190,.,19000,19000,19000,19000
181880,.,20390,20690,20815,20815
181941,.,24263,25225,23625,23625
182652,.,17030,17999,18299,18799
182704,.,18495,18495,18495,18495
182722,.,18495,18495,18495,18495
182892,.,16355,16355,16430,16430
182953,.,16995,16995,16995,16995
182999,.,16743,16743,16993,16975
183035,.,10500,10500,10500,10500
183202,.,15000,15700,16200,16200
183725,.,16991,16991,16991,16991
183983,.,11220,11450,11700,11930
184047,.,15112,15112,15312,15312
184056,.,28243,29190,29651,30928
184092,.,18020,17995,17995,18495
184278,.,26925,26925,26925,26925
184427,.,33939,34912,35904,36332
184506,.,14400,15150,15150,15156
184746,.,17000,17000,17000,17615
184816,.,14400,15150,15150,15156
184870,.,13647,16735,17025,14685
185332,.,11450,11450,11710,11710
185396,.,27248,28054,28652,29277
185466,.,17900,17900,17900,17900
185767,.,15750,15750,17430,17880
185970,.,17570,17770,15600,15600
186016,.,16880,16980,16980,16880
186052,.,21095,21095,21095,21095
186274,.,15750,15750,17430,17880
186335,.,15700,15700,15700,15700
186593,.,14525,15065,15040,15040
187000,.,23520,23940,24780,25200
187161,15050,.,.,.,.
187505,.,15495,15495,15495,15495
187602,.,14230,14240,14240,14240
188289,.,15195,15195,15195,15195
188650,.,16080,16080,16080,16280
188890,.,18300,18200,18200,18200
188915,.,29945,30669,31647,31747
188988,.,9415,9858,10375,10375
189219,.,11225,11225,11225,11225
189404,.,13200,13200,13200,13200
189468,.,12600,12600,13600,13600
189477,.,7490,7490,8190,8190
189714,.,13100,13100,13100,14100
189954,.,12600,12600,12600,12600
189990,.,5750,7500,8000,8000
190239,.,12860,12000,12000,12750
190293,.,11900,11900,12440,12590
190309,.,11900,11900,12440,12590
190318,.,11900,11900,12440,12590
190707,.,16550,16550,19750,19650
191287,.,47900,47900,39050,39050
191311,.,19510,19475,21000,21000
191409,.,12600,12600,13600,13600
191728,.,13440,13490,13490,13490
191834,.,16566,16566,16530,16530
191940,13335,.,.,.,.
192484,.,13200,13200,13200,13200
193122,.,11250,12500,12775,13250
193186,.,12600,12600,12600,12700
193265,.,12700,13600,13600,14500
193672,.,10905,11410,11410,11410
193760,.,15798,16255,14915,14889
193858,.,14300,14300,14300,14365
193991,.,12910,11750,11750,12500
194259,.,9725,9725,9840,10075
194435,.,11900,11900,12440,12590
194879,.,13000,13000,13000,13000
195067,.,14290,12000,12000,12750
195623,.,9600,9600,9600,9600
195933,.,11250,11250,11390,11390
197337,.,9481,10434,10346,12550
198190,.,15750,15750,16500,16500
198844,.,6700,6700,7200,7200
199005,.,9950,10750,10125,10125
199078,.,14088,14063,14590,14743
199670,.,6000,12750,16500,16500
199689,.,10900,12900,12900,13900
199980,.,7675,7675,7845,7845
200110,.,13100,17000,17000,17000
200129,.,12000,12000,13800,13800
200165,.,13100,16500,16500,16500
200262,.,5380,6337,6337,6337
200387,.,14395,14395,14395,14395
200828,.,11035,12035,12035,11000
201034,.,10260,10750,10750,9608
201098,.,4810,4767,5028,4941
201131,.,9275,9750,10000,10750
201159,.,12950,11745,13450,13950
201478,.,7800,7800,8500,8500
201496,.,5807,6193,6185,6592
201539,.,11200,11520,11320,12054
201681,.,13805,14805,15790,15810
201982,.,13752,13752,14608,14508
202055,.,10800,10800,10800,10800
202152,.,6000,6000,6000,6600
202453,.,10860,10860,10860,10860
202657,.,8900,10060,10375,10590
202888,.,8780,9135,9335,9520
202949,.,7095,7195,7280,7250
202985,.,10500,10675,10675,12499
203030,.,13500,14400,15000,15000
203146,.,15340,15340,16190,16190
203225,.,15600,15235,15235,15235
203234,.,15680,15680,15740,15740
203438,.,18150,18350,18350,18400
203614,.,9220,9220,9220,9220
203942,.,4979,5120,5120,4570
204121,.,14450,14450,14950,15315
204158,.,12660,12660,13120,13660
204334,.,15750,15850,15950,15850
204431,.,7181,8800,8900,8900
204459,.,15400,15000,15000,15000
204608,.,20900,20500,20500,20500
204626,.,15195,15195,15195,15445
204714,.,12000,12000,13200,13200
204723,.,12510,12870,13500,14040
204769,.,11500,11500,12000,12500
204778,.,18900,18900,19400,19900
204963,.,16056,16858,18544,18544
204981,.,12880,12900,12850,13238
205142,.,15310,17640,17640,17740
206039,.,14025,14925,15425,15925
206172,.,645,645,821,821
206181,.,11753,12061,12325,12630
206321,.,14065,14399,14375,14373
206482,.,17995,18995,18995,18995
206783,.,12625,12625,13325,13325
206880,.,12000,12000,12000,13500
206905,.,4373,4377,4405,4470
206932,.,15875,15875,15995,15995
206969,.,9000,9000,9150,9150
207087,.,11950,12100,12600,12900
207102,.,15695,15695,15695,15695
207166,.,9100,9150,9100,9250
207272,.,8600,10200,10200,10200
207537,.,10938,10938,10938,10938
207625,.,34020,34020,28200,28200
207704,.,12375,13125,13125,13175
207786,.,10200,12200,12200,12200
207962,.,16855,17355,18555,18555
208017,.,9100,9400,9400,9400
208026,.,1908,1838,1838,2100
208044,.,11875,11775,11875,11875
208053,.,2625,2625,2625,2625
208080,.,16955,16955,16955,16955
208123,.,11550,9270,9270,9270
208187,.,15125,15125,15125,15125
208248,.,24465,24515,16558,16558
208433,.,13950,13950,13950,13950
208479,.,13997,14495,14500,14590
208512,.,27290,27290,27290,27865
208637,14900,.,.,.,.
208655,.,21900,21900,17900,17900
208859,.,14950,14950,15410,15410
209083,.,16131,18361,18361,18631
209153,.,14950,14950,15410,15410
209205,.,16938,18361,18361,18631
209667,.,14950,14950,15410,15410
209676,.,14950,14950,15410,15410
209694,.,14950,14950,15410,15410
209700,.,21900,21900,17900,17900
209719,.,16280,16280,16280,16280
