UNITID,EFTEUG,EFTEGD
148821,1379,
148849,70,
148876,1153,
148885,,126
148937,1226,
148955,99,
148982,,52
148991,973,
149028,213,53
149204,63,
149222,11963,2609
149231,10737,1418
149310,588,
149329,75,13
149365,3341,
149499,18,
149505,1199,85
149514,785,680
149532,6790,
149550,252,
149639,118,235
149727,6841,
149763,534,35
149772,8460,1256
149781,2546,305
149842,9951,
150048,308,
150066,1836,285
150075,4,
150136,16029,3349
150145,1355,161
150163,4271,474
150172,646,126
150215,,126
150251,190,
150288,,238
150303,211,
150400,2272,
150428,34,
150437,44,
150455,1007,67
150534,2331,54
150604,1130,
150668,748,45
150677,1798,321
150695,42,
150710,57,
150756,1302,
150765,77,
150774,518,
150853,167,
150941,975,149
150987,58393,
151102,7925,355
151111,19442,4096
151166,2349,
151263,4182,897
151290,4965,441
151306,7935,586
151324,10574,1627
151333,2638,102
151342,4688,377
151351,33939,7221
151360,3724,244
151379,4363,255
151388,2997,128
151458,334,
151467,295,
151564,42,
151607,129,
151616,355,
151652,231,
151661,1211,
151777,1297,21
151786,2178,266
151801,2795,230
151810,233,54
151865,,60
151874,1,
151944,259,
151962,216,
152044,58,
152080,9404,3134
152099,700,204
152150,45,
152248,6298,637
152266,3628,44
152275,165,
152309,119,
152318,2197,56
152327,27,
152336,1622,401
152363,1060,27
152381,520,142
152390,1685,33
152415,464,
152451,,182
152497,206,
152530,2171,37
152567,2101,218
152600,3283,768
152628,58,
152637,9774,
152673,946,
152798,354,151
152992,898,68
153001,2038,238
153074,242,
153083,222,
153108,1233,
153126,834,65
153144,1505,
153162,1108,
153171,28,
153214,14632,
153241,81,
153250,1438,45
153269,2983,607
153278,1817,271
153296,729,
153302,256,
153311,4959,
153320,238,28
153339,22,
153366,1358,508
153375,1761,50
153384,1722,
153409,310,33
153418,733,62
153427,281,
153445,3751,
153463,35,
153472,4105,
153524,3879,
153533,1689,
153542,17,
153588,37,
153597,153,
153603,29418,3549
153621,411,0
153630,4831,
153658,21298,4008
153737,9622,
153746,46,
153764,97,
153773,127,
153782,41,
153825,1507,57
153834,2521,
153861,373,1311
153922,1197,
153977,807,
154004,1280,788
154013,1312,264
154022,34755,5207
154059,1962,
154095,9126,1095
154101,1074,75
154110,2857,
154129,1109,
154156,,410
154165,65,
154174,37,2
154208,195,
154235,2396,741
154262,200,
154332,76,
154341,49,
154350,1681,48
154378,1823,
154396,1153,
154448,220,
154457,46,
154466,74,
154493,4739,535
154518,1560,191
154527,1580,
154536,,122
154545,30,
154572,3611,
154590,1435,54
154642,1630,
154688,1446,827
154697,4271,
154712,1987,37
154721,620,
154749,496,
154767,306,
154776,297,
154794,107,
154800,6050,
154837,43,123
154855,926,
154907,1344,
154925,1265,
154934,974,
154952,2366,
154998,1337,
155007,297,
155025,3675,1484
155052,562,
155061,8031,1524
155070,218,28
155089,1184,413
155098,1311,
155104,1867,
155140,755,
155159,86,
155177,375,
155186,2158,
155195,3751,
155201,824,
155210,11172,
155283,502,
155292,3611,
155308,34,
155317,18799,4454
155335,1643,576
155353,64,
155399,18038,2341
155414,655,48
155423,1180,
155441,41,
155450,1104,
155487,596,
155496,248,
155511,629,16
155520,1356,558
155566,1289,
155593,689,
155618,620,
155627,594,28
155636,363,107
155681,5882,814
155715,881,
155812,775,347
155830,355,
155858,1306,
155900,1042,255
155937,642,
155973,623,36
156082,4258,342
156107,2223,
156125,9569,1760
156134,1287,
156189,543,
156213,1446,169
156222,,1035
156231,2023,
156277,62,
156286,2720,542
156295,1714,
156310,316,
156338,2512,
156356,809,9
156365,2400,416
156392,6635,
156408,1319,
156417,93,
156426,262,
156471,1235,
156541,2090,2908
156620,12109,1723
156648,3434,
156727,,1034
156745,887,316
156754,65,
156790,1843,
156842,248,
156851,926,
156860,1894,
156921,6821,
156967,223,
157021,867,
157030,62,
157058,1236,96
157076,611,
157085,21818,3108
157100,448,35
157207,,39
157216,1996,593
157270,403,
157289,13865,2977
157298,,105
157304,1802,
157331,2189,
157377,722,83
157386,6931,678
157401,7764,1137
157438,2315,
157447,10521,895
157465,117,
157483,3483,
157535,1400,69
157553,2432,
157599,662,
157614,102,
157650,176,
157669,115,
157678,118,
157696,62,
157711,4061,
157739,1869,
157748,762,1860
157757,962,815
157766,456,
157793,2726,581
157809,1523,183
157818,1229,
157827,81,
157863,796,194
157951,14270,1710
158088,1453,
158246,268,
158325,70,
158334,24,
158343,60,
158352,701,
158431,4967,
158440,46,
158477,580,41
158538,44,
158617,883,
158644,42,
158662,10832,
158723,220,
158778,49,
158787,87,
158802,1192,
158884,1526,
159009,3445,719
159027,22,
159197,823,
159319,30,
159328,87,
159373,811,664
159382,2260,
159391,24242,4018
159407,1735,
159416,2118,1104
159513,197,
159522,183,
159531,49,
159568,835,138
159601,17,
159647,5714,729
159656,2782,458
159717,6466,469
159939,5542,1142
159948,638,962
159966,5090,542
159993,5968,699
160010,1704,
160029,6,154
160038,6818,700
160065,600,173
160074,1022,222
160117,85,
160126,38,
160135,69,
160199,87,
160320,2836,
160409,147,
160445,150,
160472,23,
160481,1236,
160524,409,
160579,2415,
160597,49,
160612,10771,613
160621,5214,789
160630,1660,480
160649,2277,
160658,14187,1217
160667,1693,
160755,8177,2395
160904,2173,113
160913,1307,
160940,1196,88
160959,329,11
160977,511,
160995,340,
161004,1798,
161022,141,
161077,1802,
161086,2067,
161138,1684,
161192,1349,
161208,89,
161217,2902,
161226,1764,97
161235,970,
161244,506,
161253,8454,882
161299,1046,28
161341,824,
161457,3240,2317
161484,584,
161493,247,
161509,403,44
161518,1401,594
161527,171,
161545,3995,
161554,4526,948
161563,947,116
161572,635,
161581,323,
161615,17,
161651,70,
161688,2022,
161767,8603,
161776,405,
161800,213,
161855,60,
161864,2755,
161873,2487,1156
162007,3895,693
162061,371,232
162104,1597,
162122,5034,
162168,1300,
162210,778,125
162283,2202,247
162335,63,
162371,528,
162557,3747,
162584,4549,531
162609,595,
162654,1463,415
162681,858,81
162690,2724,
162706,4046,
162760,1219,458
162779,6386,
162830,74,
162928,6928,15609
162982,176,
163028,726,
163046,3995,1389
163107,26,
163204,23396,7495
163259,767,2446
163268,9920,1422
163286,27217,6416
163295,1829,402
163338,3459,250
163347,861,
163408,121,
163426,16323,
163453,5992,1047
163462,1837,396
163532,300,188
163541,377,
163578,854,709
163657,7664,
163736,744,
163754,77,
163815,145,
163851,7738,547
163912,1760,52
163976,456,52
164058,693,
164076,18010,1860
164085,,703
164155,5660,
164173,3185,300
164216,1514,2
164270,1714,691
164313,1856,
164368,347,2407
164438,510,234
164447,1344,1433
164465,1914,
164474,,149
164492,964,241
164535,51,
164562,2117,381
164580,2386,968
164599,35,
164614,72,
164632,1588,1338
164641,945,
164678,98,
164720,1844,7
164739,4095,823
164748,5737,383
164775,1207,
164845,202,
164872,258,287
164915,,55
164924,9393,2812
164988,21224,8944
165015,4076,2718
165024,8878,944
165033,5581,
165060,180,
165112,8672,
165167,747,1296
165194,2114,
165255,161,
165264,597,
165334,2541,1129
165495,,28
165529,2385,154
165556,358,
165574,1246,
165608,88,
165635,310,
165644,792,148
165662,4074,571
165671,1957,118
165699,3185,1243
165705,,34
165750,69,
165802,1530,22
165820,3729,1409
165866,4426,1281
