UNITID,SAOUTLT
110574,8324580
110574,2931468
110574,31963944
110583,39307632
110583,16848192
110583,17652540
110583,16874028
110583,559008
110583,91241400
110592,29735616
110592,7756692
110592,10289520
110592,9395244
110592,57177072
110608,39289716
110608,13890576
110608,16473360
110608,9393643
110608,1284084
110608,80331379
110617,32643672
110617,10483980
110617,10860648
110617,6732720
110617,427164
110617,61148184
110635,160035046
110635,38842519
110635,28113900
110635,339800
110635,15344174
110635,1561406
110635,244236845
110644,137667006
110644,35191808
110644,28820312
110644,13105006
110644,74870
110644,214859002
110653,93722776
110653,26219962
110653,18156591
110653,16159851
110653,154259180
110662,207502328
110662,37181908
110662,30832723
110662,16396954
110662,879525
110662,292793438
110671,51118555
110671,17941958
110671,21218876
110671,8044858
110671,154940
110671,98479187
110680,102047584
110680,25295065
110680,22726406
110680,14933449
110680,522518
110680,165525022
110699,23567885
110699,7126053
110699,6462022
110699,534415
110699,37690375
110705,88269951
110705,16000964
110705,12728400
110705,12250020
110705,129249335
110714,43820500
110714,14407829
110714,9862648
110714,4343144
110714,527563
110714,72961684
110778,242200
110778,70300
110778,186000
110778,498500
110918,33000
110918,33000
111009,495982
111009,495982
111081,12313664
111081,12313664
111188,1723176
111188,1054824
111188,1657668
111188,913200
111188,5348868
111391,3653346
111391,117456
111391,232000
111391,342659
111391,4345461
111434,7964112
111434,7964112
111461,13503356
111461,467292
111461,3039558
111461,17010206
111638,468744
111638,468744
111887,22350634
111887,22350634
111896,5525062
111896,5525062
111920,17472482
111920,17472482
111939,22158401
111939,22158401
111948,21927148
111948,13428007
111948,13465973
111948,2102851
111948,50923979
111966,438198
111966,1806979
111966,535184
111966,2780361
112075,2138574
112075,932245
112075,2729266
112075,5800085
112084,204720
112084,468885
112084,422016
112084,1095621
112127,74354
112127,196950
112127,271304
112172,16146466
112172,16146466
112190,49440930
112190,49440930
112251,6854835
112251,3649558
112251,1356796
112251,11861189
112260,10332584
112260,6035327
112260,4454806
112260,167413
112260,112147
112260,21102277
112385,4859253
112385,4859253
112394,161271
112394,736575
112394,247279
112394,65920
112394,120000
112394,1331045
112446,873072
112446,873072
112525,6708977
112525,8613125
112525,12876458
112525,884003
112525,29082563
112561,4485482
112561,4485482
112570,215000
112570,215000
112686,8854489
112686,8854489
112826,7149722
112826,7149722
113096,16472995
113096,16472995
113111,6718109
113111,6718109
113193,13007729
113193,13007729
113218,7575995
113218,7575995
113236,25207890
113236,25207890
113333,26492971
113333,26492971
113537,148000
113537,148000
113573,12712229
113573,12712229
113582,334343
113582,334343
113634,23453705
113634,23453705
113698,3458689
113698,1347924
113698,3596284
113698,8402897
113704,279606
113704,90000
113704,50000
113704,419606
113856,32110290
113856,32110290
113980,30337285
113980,30337285
114114,60000
114114,60000
114123,722132
114123,722132
114266,13824214
114266,13824214
114354,4148951
114354,4148951
114390,418556
114390,418556
114433,2108510
114433,2108510
114549,3801272
114549,3801272
114585,40000
114585,40000
114716,18195235
114716,18195235
114734,116360
114734,116360
114789,32463556
114789,32463556
114813,1341291
114813,2462373
114813,3306638
114813,339603
114813,7449905
114840,3744229
114840,1808098
114840,2099703
114840,76000
114840,7728030
114859,38805424
114859,38805424
114938,7594173
114938,7594173
115001,18867362
115001,18867362
115010,472692
115010,562795
115010,495000
115010,1530487
115083,3961178
115083,1210479
115083,1102124
115083,289603
115083,6563384
115126,14178749
115126,14178749
115214,208932
115214,247209
115214,69070
115214,132403
115214,657614
115296,17893251
115296,17893251
115393,10314915
115393,774155
115393,11089070
115409,7550657
115409,2257475
115409,2514502
115409,118000
115409,12440634
115728,669440
115728,1132605
115728,1270646
115728,396503
115728,3469194
115746,3021282
115746,3021282
115755,11525244
115755,3722172
115755,5627076
115755,3509280
115755,24383772
115773,214303
115773,197844
115773,605968
115773,243132
115773,90519
115773,1351766
115861,13197946
115861,13197946
115931,834000
115931,834000
116226,90923
116226,90923
116439,15249848
116439,15249848
116712,2211476
116712,422771
116712,791582
116712,3425829
116846,524445
116846,250913
116846,293310
116846,78120
116846,1146788
117052,16355098
117052,16355098
117104,325602
117104,375065
117104,217836
117104,40143
117104,958646
117113,1332150
117113,1332150
117140,11351975
117140,5401383
117140,6705448
117140,1290050
117140,24748856
117168,412879
117168,681497
117168,601476
117168,1695852
117195,2609674
117195,2609674
117247,12916712
117247,12916712
117274,3041498
117274,3041498
117520,1883850
117520,599600
117520,129000
117520,61400
117520,2673850
117557,258993
117557,443988
117557,36999
117557,739980
117575,227134
117575,227134
117627,2450747
117627,2758307
117627,1963907
117627,25776
117627,607840
117627,7806577
117636,6938959
117636,8731894
117636,16802798
117636,3050463
117636,35524114
117645,25220608
117645,25220608
117672,600554
117672,1027635
117672,1705413
117672,268215
117672,485721
117672,4087538
117690,11233084
117690,11233084
117706,23177459
117706,23177459
117715,8689332
117715,8689332
117724,18580185
117724,18580185
117733,19458066
117733,19458066
117751,1973165
117751,1177214
117751,528249
117751,140000
117751,3818628
117788,20489414
117788,20489414
117803,4141373
117803,4141373
117867,9631878
117867,9631878
117894,10097026
117894,10097026
117928,803963
117928,803963
117946,30935771
117946,16831345
117946,12156202
117946,1251089
117946,61174407
118198,860312
118198,860312
118259,346809
118259,346809
118277,3298667
118277,3298667
118286,720054
118286,720054
118347,12291497
118347,12291497
118541,1163539
118541,488593
118541,446457
118541,2098589
118684,3629744
118684,3629744
118693,1722800
118693,1046100
118693,391000
118693,35700
118693,289100
118693,3484700
118718,15046921
118718,15046921
118772,7132985
118772,7132985
118888,5811235
118888,1631879
118888,1204986
118888,120000
118888,8768100
118912,23560516
118912,23560516
118930,12261013
118930,12261013
118967,698589
118967,698589
118976,21545810
118976,21545810
119058,2649260
119058,1492551
119058,1621372
119058,64765
119058,1470568
119058,7298516
119067,9362711
119067,9362711
119137,15297709
119137,15297709
119164,43925890
119164,43925890
119173,2386473
119173,3046668
119173,4375918
119173,548804
119173,311363
119173,10669226
119216,16887463
119216,16887463
119270,2609527
119270,2609527
119331,8358804
119331,8358804
119605,14270450
119605,8887295
119605,6606386
119605,1124704
119605,221000
119605,31109835
119678,14256966
119678,15116098
119678,4162874
119678,15660172
119678,49196110
119775,406073
119775,544287
119775,415915
119775,159248
119775,1525523
120078,60000
120078,315404
120078,375404
120184,2828664
120184,429866
120184,887539
120184,121642
120184,4267711
120254,9542610
120254,3981067
120254,2311770
120254,2276075
120254,18111522
120290,12701056
120290,12701056
120342,26257255
120342,26257255
120403,1716899
120403,1625226
120403,622413
120403,3964538
120421,8401833
120421,8401833
120537,645765
120537,1419600
120537,349850
120537,2415215
120661,1595558
120661,1595558
120698,1824671
120698,939885
120698,1050748
120698,350679
120698,4165983
120768,1289703
120768,7560
120768,1297263
120795,85708
120795,395370
120795,202260
120795,81777
120795,765115
120838,168000
120838,168000
120865,2300523
120865,1059193
120865,1544350
120865,339267
120865,62634
120865,5305967
120883,18697883
120883,15219385
120883,9759824
120883,480054
120883,929491
120883,45086637
120953,2330149
120953,2330149
120971,27279192
120971,27279192
121044,37675754
121044,37675754
121150,17407780
121150,10266768
121150,7319393
121150,1096572
121150,1259247
121150,3064540
121150,40414300
121257,3774216
121257,2037204
121257,2574566
121257,270946
121257,65939
121257,50000
121257,8772871
121275,438021
121275,438021
121309,7524432
121309,3374154
121309,1147170
121309,12045756
121345,12486995
121345,7901749
121345,2748373
121345,78000
121345,1907313
121345,25122430
121363,5905504
121363,5905504
121619,25222253
121619,25222253
121691,12525814
121691,4306903
121691,1028855
121691,736168
121691,1726176
121691,20323916
121707,5765328
121707,5765328
121886,18433195
121886,18433195
121901,22848694
121901,22848694
121983,299246
121983,231823
121983,48006
121983,579075
122117,99000
122117,99000
122180,27566763
122180,27566763
122205,25975759
122205,25975759
122296,2760001
122296,3318823
122296,9546987
122296,2951612
122296,18577423
122339,14942587
122339,14942587
122366,118635
122366,118635
122375,22194420
122375,22194420
122384,10327124
122384,10327124
122409,38007804
122409,18595404
122409,14485200
122409,11143932
122409,1060176
122409,83292516
122436,25479932
122436,13241673
122436,8601091
122436,1169493
122436,48492189
122454,308637
122454,812758
122454,550702
122454,126975
122454,1799072
122506,2896891
122506,2896891
122597,37178760
122597,20389644
122597,12892356
122597,8099412
122597,630720
122597,79190892
122603,268324
122603,199705
122603,119301
122603,587330
122612,22806077
122612,15335462
122612,18932342
122612,2253255
122612,59327136
122649,575300
122649,575300
122658,22025299
122658,22025299
122685,10574028
122685,10574028
122728,716250
122728,966037
122728,874874
122728,2557161
122746,13340361
122746,13340361
122755,34429968
122755,12997884
122755,15423828
122755,6067524
122755,267228
122755,69186432
122791,12493079
122791,12493079
122834,510031
122834,510031
122852,281348
122852,281348
122889,20864644
122889,20864644
122931,24028197
122931,16681484
122931,8601073
122931,11351088
122931,146431
122931,60808273
122977,34375141
122977,34375141
123013,27385981
123013,27385981
123095,1237500
123095,1237500
123165,4640383
123165,2656610
123165,2281587
123165,162500
123165,60000
123165,9801080
123217,13294147
123217,13294147
123280,183757
123280,183757
123299,10619918
123299,10619918
123341,17562781
123341,17562781
123448,100000
123448,173354
123448,130950
123448,404304
123457,338197
123457,815334
123457,1176836
123457,144952
123457,2475319
123484,3238988
123484,3238988
123509,12746062
123509,12746062
123527,13906287
123527,13906287
123554,8818597
123554,7846892
123554,4343360
123554,21008849
123563,11107675
123563,11107675
123572,12437172
123572,3808116
123572,3463344
123572,2208180
123572,21916812
123633,1122720
123633,1122720
123642,194335
123642,194335
123651,3203929
123651,1385186
123651,1428764
123651,42549
123651,6060428
123679,1631630
123679,1631630
123800,15345251
123800,2975810
123800,0
123800,18321061
123855,301300
123855,855500
123855,63300
123855,1220100
123916,85000
123916,85000
123943,1163476
123943,1721154
123943,2606407
123943,5491037
123952,3280325
123952,3280325
123961,141609057
123961,63164778
123961,43031120
123961,59532
123961,18503723
123961,266368210
123970,6049703
123970,1905503
123970,70000
123970,8025206
124113,2809363
124113,1086308
124113,82295
124113,3977966
124283,876950
124283,457156
124283,82249
124283,1416355
124292,1797457
124292,815723
124292,473928
124292,3087108
124487,176250
124487,176250
124557,29092273
124557,29092273
124706,1432413
124706,1432413
124937,1893761
124937,1893761
125028,12933010
125028,12933010
125091,10887575
125091,10887575
125170,5811944
125170,5811944
125231,17643083
125231,17643083
125462,2703594
125462,2703594
125471,11260393
125471,11260393
125499,14213084
125499,14213084
125532,2249041
125532,2249041
125718,976707
125718,153632
125718,148269
125718,1278608
125727,5089535
125727,1583908
125727,1479707
125727,180694
125727,35680
125727,8369524
125763,5675391
125763,3550469
125763,2753978
125763,313540
125763,260287
125763,12553665
125897,2382756
125897,2484900
125897,1726858
125897,697525
125897,128864
125897,7420903
126012,358540
126012,287127
126012,557147
126012,1399483
126012,2602297
126030,1190399
126030,413003
126030,410186
126030,2013588
126049,2066300
126049,1522494
126049,80000
126049,3668794
126076,249164
126076,249164
126100,381012
126100,381012
126119,7755467
126119,7755467
126182,2689224
126182,702801
126182,1674384
126182,981492
126182,6047901
126207,4362353
126207,217518
126207,156316
126207,1910144
126207,6646331
126289,6522637
126289,6522637
126359,30556
126359,458986
126359,489542
126562,25813392
126562,30499097
126562,23968006
126562,18643510
126562,60000
126562,98984005
126580,8395311
126580,6168600
126580,5801785
126580,8029651
126580,0
126580,28395347
126605,765000
126605,765000
126614,64553390
126614,36902232
126614,27419939
126614,21910783
126614,150786344
126669,2313037
126669,781518
126669,2039214
126669,192261
126669,5326030
126678,8951536
126678,5337335
126678,4994848
126678,337325
126678,244115
126678,19865159
126687,1850721
126687,1850721
126702,1300489
126702,1300489
126711,3772464
126711,3836984
126711,1299730
126711,181007
126711,9090185
126748,2398162
126748,2398162
126775,12086028
126775,5661297
126775,5594863
126775,5343157
126775,702176
126775,215158
126775,29602679
126784,545572
126784,545572
126818,57610523
126818,33381039
126818,29051618
126818,11159999
126818,13612266
126818,144815445
126827,5725868
126827,5725868
126863,3520190
126863,3520190
126872,320880
126872,320880
126942,2513244
126942,1922337
126942,939140
126942,1084553
126942,6459274
126951,2260154
126951,2260154
126979,908578
126979,326342
126979,368387
126979,111480
126979,572419
126979,2287206
127060,25259402
127060,23201365
127060,13616556
127060,10174129
127060,72251452
127185,3928230
127185,3241244
127185,2505498
127185,674685
127185,1172097
127185,11521754
127200,14584808
127200,14584808
127273,831900
127273,454700
127273,121700
127273,180000
127273,1588300
127389,768328
127389,768328
127556,4668184
127556,2469175
127556,4969889
127556,4768079
127556,473050
127556,54790
127556,17403167
127565,14986967
127565,13721230
127565,7401850
127565,441023
127565,5207446
127565,117867
127565,41876383
127617,1713283
127617,1713283
127653,986021
127653,1109841
127653,919418
127653,3015280
