UNITID,EFDEEXC,XEFDESOM,EFDESOM,EFDENON
104577,259,R,765,4058
104577,4,R,20,1317
104586,6,R,60,2373
104586,6,R,59,2312
104586,6,R,58,2299
104586,0,R,1,13
104586,0,R,1,61
104665,0,A,0,18
104665,0,A,0,18
104708,1351,R,3069,14580
104708,1351,R,3069,14580
104708,1118,R,2734,11002
104708,233,R,335,3578
104717,58779,R,9763,7292
104717,31102,R,9622,5573
104717,30865,R,9622,5008
104717,237,Z,0,565
104717,27677,R,141,1719
104911,0,A,0,55
104911,0,A,0,55
105145,315,R,851,3892
105145,315,R,851,3892
105145,288,R,832,3315
105145,27,R,19,577
105154,2499,R,4004,14005
105154,2499,R,4004,14005
105154,2139,R,3615,10918
105154,360,R,389,3087
105206,806,R,1035,2389
105206,806,R,1035,2389
105206,672,R,912,1186
105206,134,R,123,1203
105215,0,A,0,1182
105215,0,A,0,1182
105297,117,R,458,821
105297,117,R,458,821
105297,85,R,446,745
105297,32,R,12,76
105330,6402,R,6504,17455
105330,4563,R,6098,15839
105330,4538,R,6096,15765
105330,25,R,2,74
105330,1839,R,406,1616
105349,547,R,606,1891
105349,547,R,606,1891
105349,388,R,417,664
105349,159,R,189,1227
105367,296,R,107,174
105367,219,R,44,37
105367,217,R,43,33
105367,2,R,1,4
105367,77,R,63,137
105428,1326,R,2462,7720
105428,1326,R,2462,7720
105428,1106,R,2261,6056
105428,220,R,201,1664
105482,0,A,0,89
105482,0,A,0,89
105525,3205,R,3765,17986
105525,3205,R,3765,17986
105525,3026,R,3701,15116
105525,179,R,64,2870
105534,1055,R,30,1024
105534,1055,R,30,1024
105534,1055,R,30,1024
105543,0,A,0,872
105543,0,A,0,872
105543,0,A,0,872
105589,132,R,216,354
105589,0,R,1,354
105589,0,Z,0,349
105589,0,R,1,5
105589,132,R,215,0
105659,0,R,40,617
105659,0,R,40,617
105659,0,R,40,617
105668,10815,R,514,7307
105668,10815,R,514,7307
105668,5869,R,307,338
105668,4946,R,207,6969
105677,0,A,0,40
105677,0,A,0,40
105701,0,A,0,57
105701,0,A,0,57
105747,865,R,1775,6911
105747,865,R,1775,6911
105747,627,R,1635,4169
105747,238,R,140,2742
105792,243,R,656,3159
105792,243,R,656,3159
105792,217,R,628,2399
105792,26,R,28,760
105899,0,R,35,785
105899,0,R,35,785
105899,0,R,35,649
105899,0,R,0,136
105987,0,A,0,102
105987,0,A,0,102
106041,0,A,0,1896
106041,0,A,0,1896
106041,0,A,0,1896
106102,1658,R,0,0
106102,1184,R,0,0
106102,1133,R,0,0
106102,51,R,0,0
106102,474,R,0,0
106111,0,A,0,95
106111,0,A,0,95
106148,1383,R,1536,4363
106148,1383,R,1536,4363
106148,1238,R,1434,1962
106148,145,R,102,2401
106245,1482,R,3368,6896
106245,981,R,2808,5025
106245,960,R,2793,3270
106245,21,R,15,1755
106245,501,R,560,1871
106263,620,R,607,1642
106263,119,R,359,196
106263,118,R,359,179
106263,1,R,0,17
106263,501,R,248,1446
106306,0,A,0,878
106306,0,A,0,878
106306,0,A,0,878
106315,0,A,0,89
106315,0,A,0,89
106324,0,A,0,17
106324,0,A,0,17
106342,0,A,0,707
106342,0,A,0,707
106342,0,A,0,683
106342,0,A,0,24
106351,0,A,0,131
106351,0,A,0,131
106360,0,A,0,39
106360,0,A,0,39
106397,2322,R,4648,20224
106397,838,R,4358,17352
106397,730,R,4351,17173
106397,108,R,7,179
106397,1484,R,290,2872
106412,76,R,1112,1633
106412,67,R,1101,1553
106412,63,R,1101,1547
106412,4,Z,0,6
106412,9,R,11,80
106449,474,R,927,2588
106449,474,R,927,2588
106449,365,R,876,1585
106449,109,R,51,1003
106458,3843,R,3682,6560
106458,806,R,3528,5505
106458,791,R,3514,4823
106458,15,R,14,682
106458,3037,R,154,1055
106467,2409,R,2770,6715
106467,2043,R,2540,6470
106467,1275,R,2493,4695
106467,768,R,47,1775
106467,366,R,230,245
106485,921,R,1047,1956
106485,762,R,978,1929
106485,150,R,957,1526
106485,612,R,21,403
106485,159,R,69,27
106494,0,A,0,73
106494,0,A,0,73
106546,4,R,0,657
106546,4,R,0,657
106546,4,R,0,657
106625,176,R,511,882
106625,176,R,511,882
106625,157,R,489,571
106625,19,R,22,311
106704,1072,R,1875,8540
106704,131,R,1639,7846
106704,122,R,1628,7332
106704,9,R,11,514
106704,941,R,236,694
106713,35,R,267,525
106713,35,R,267,525
106713,35,R,267,429
106713,0,R,0,96
106795,130,R,426,982
106795,130,R,426,982
106795,117,R,416,383
106795,13,R,10,599
106810,1,R,57,176
106810,1,R,57,176
106810,1,R,57,139
106810,0,R,0,37
106829,0,A,0,189
106829,0,A,0,189
106829,0,A,0,189
106883,200,R,223,720
106883,200,R,223,720
106883,112,R,172,381
106883,88,R,51,339
106892,0,A,0,134
106892,0,A,0,134
106908,0,A,0,366
106908,0,A,0,366
106980,210,R,695,2029
106980,210,R,695,2029
106980,194,R,687,1295
106980,16,R,8,734
106999,211,R,417,717
106999,211,R,417,717
106999,144,R,347,504
106999,67,R,70,213
107044,312,R,685,4905
107044,48,R,246,4125
107044,48,R,246,4083
107044,0,R,0,42
107044,264,R,439,780
107071,367,R,1430,1754
107071,63,R,1341,1648
107071,63,R,1341,1644
107071,0,R,0,4
107071,304,R,89,106
107080,0,A,0,1328
107080,0,A,0,1321
107080,0,A,0,1315
107080,0,A,0,6
107080,0,A,0,7
107099,0,A,0,8
107099,0,A,0,8
107123,0,A,0,61
107123,0,A,0,61
107123,0,A,0,61
107141,334,R,286,2088
107141,185,R,106,1726
107141,184,R,101,1376
107141,1,R,5,350
107141,149,R,180,362
107211,0,A,0,12
107211,0,A,0,12
107220,0,A,0,222
107220,0,A,0,222
107293,0,A,0,73
107293,0,A,0,73
107318,85,R,250,1501
107318,85,R,250,1501
107318,59,R,230,623
107318,26,R,20,878
107327,249,R,298,869
