UNITID,EFDEEXC,EFDESOM,EFDENON
106449,474,927,2588
106449,365,876,1585
106449,109,51,1003
106458,3843,3682,6560
106458,806,3528,5505
106458,791,3514,4823
106458,15,14,682
106458,3037,154,1055
106467,2409,2770,6715
106467,2043,2540,6470
106467,1275,2493,4695
106467,768,47,1775
106467,366,230,245
106485,921,1047,1956
106485,762,978,1929
106485,150,957,1526
106485,612,21,403
106485,159,69,27
106494,,,73
106494,,,73
106546,4,0,657
106546,4,0,657
106546,4,0,657
106625,176,511,882
106625,176,511,882
106625,157,489,571
106625,19,22,311
106704,1072,1875,8540
106704,131,1639,7846
106704,122,1628,7332
106704,9,11,514
106704,941,236,694
106713,35,267,525
106713,35,267,525
106713,35,267,429
106713,0,0,96
106795,130,426,982
106795,130,426,982
106795,117,416,383
106795,13,10,599
106810,1,57,176
106810,1,57,176
106810,1,57,139
106810,0,0,37
106829,,,189
106829,,,189
106829,,,189
106883,200,223,720
106883,200,223,720
106883,112,172,381
106883,88,51,339
106892,,,134
106892,,,134
106908,,,366
106908,,,366
106980,210,695,1944
106980,210,695,1944
106980,194,687,1158
106980,16,8,786
106999,211,417,717
106999,211,417,717
106999,144,347,504
106999,67,70,213
107044,312,685,4905
107044,48,246,4125
107044,48,246,4083
107044,0,0,42
107044,264,439,780
107071,367,1430,1754
107071,63,1341,1648
107071,63,1341,1644
107071,0,0,4
107071,304,89,106
107080,,,1328
107080,,,1321
107080,,,1315
107080,,,6
107080,,,7
107099,,,8
107099,,,8
107123,,,61
107123,,,61
107123,,,61
107141,334,286,2088
107141,185,106,1726
107141,184,101,1376
107141,1,5,350
107141,149,180,362
107211,,,12
107211,,,12
107220,,,222
107220,,,222
107293,,,73
107293,,,73
107318,85,250,1501
107318,85,250,1501
107318,59,230,623
107318,26,20,878
107327,249,298,869
107327,249,298,869
107327,96,270,657
107327,153,28,212
107442,,,54
107442,,,54
107460,237,487,1162
107460,237,487,1162
107460,197,472,876
107460,40,15,286
107488,,,250
107488,,,250
107488,,,249
107488,,,1
107512,20,120,1353
107512,20,120,1353
