UNITID,F3A01,F3B04,F3B06,F3B08,F3C03,F3C03A,F3C03B,F3C04,F3C06,F3D01,F3D02,F3D02A,F3D02B,F3D03,F3D03A,F3D03B,F3D03C,F3D04,F3D12,F3E02A1,F3E02A2
202453,,,,,0,0,0,0,0,275740,387,0,387,0,0,0,0,0,,0,0
202684,18717670,-1143263,19507061,18363798,240205,240205,0,612050,612050,5900613,0,0,0,0,0,0,0,0,0,0,0
202888,,,,,0,0,0,0,0,293790,0,0,0,0,0,0,0,0,,0,0
203234,,,,,0,0,0,32087,0,1953164,0,0,0,0,0,0,0,0,,0,0
203289,639871,-218500,729679,500179,42372,42372,0,2388,0,1132097,0,0,0,0,0,0,0,0,,0,0
203386,53778000,2030000,49863000,50424000,605021,605021,0,0,0,30419380,0,0,0,0,0,0,0,0,0,0,0
203438,,,,,0,0,0,10130,10130,1611118,0,0,0,0,0,0,0,0,,0,0
203720,307284,697483,160617,139750,291576,291576,0,4291,0,4133668,0,0,0,0,0,0,0,0,,0,0
203739,238952,145651,140644,129158,214868,214868,0,4573,0,2693341,0,0,0,0,0,0,0,0,,0,0
204060,1866096,-1815886,-3745650,-5581536,0,0,0,0,0,1282744,0,0,0,0,0,0,0,0,,0,0
204121,,,,,0,0,0,2000,0,497300,0,0,0,0,0,0,0,0,,0,0
204316,3091183,-275892,1691622,1919088,61241,61241,0,159630,1644914,2969679,1424043,0,1424043,61241,0,61241,0,0,0,0,0
204334,,,,,0,0,0,0,0,475467,0,0,0,0,0,0,0,0,,0,0
204431,,,,,0,0,0,1932,0,167992,0,0,0,0,0,0,0,0,,0,0
204608,13946027,229572,4759210,4907124,175448,175448,0,0,979992,18031900,0,0,0,0,0,0,0,0,,0,0
204626,,,,,46005,46005,0,48227,277385,5328570,0,0,0,0,0,0,0,0,,0,0
204714,,,,,0,0,0,0,0,909582,0,0,0,0,0,0,0,0,,0,0
204723,,,,,0,0,0,0,0,1407280,0,0,0,0,0,0,0,0,,0,0
204769,,,,,0,0,0,0,0,1107981,0,0,0,0,0,0,0,0,,0,0
204778,,,,,0,0,0,0,0,1267689,0,0,0,0,0,0,0,0,,0,0
204884,1940227,150349,1085878,1386227,55079,55079,0,166494,0,2747488,0,0,0,0,0,0,0,0,,0,0
204963,,,,,0,0,0,0,0,741717,0,0,0,0,0,0,0,0,,0,0
205054,4482594,-110005,417390,-265302,0,0,0,0,0,3336377,0,0,0,0,0,0,0,0,,0,0
205142,,,,,0,0,0,0,0,1170075,0,0,0,0,0,0,0,0,,0,0
205179,24818422,-3014230,24175284,21161054,349886,153906,195980,219999,219999,14915472,0,0,0,0,0,0,0,0,,0,0
205391,2697692,472174,1151152,1067218,0,0,0,0,0,4235133,0,0,0,0,0,0,0,0,,0,0
205513,363685,-18035,387111,328251,98619,98619,0,0,0,313706,311183,0,311183,98619,0,98619,0,0,,0,0
205559,5025124,1371289,5481121,4769517,503036,161123,341913,43708,0,2769047,0,0,0,0,0,0,0,0,,0,0
205610,3795805,-6729538,8986039,1887643,253711,253711,0,256103,3611553,4269433,3101739,0,3101739,253711,0,253711,0,0,0,0,0
205647,1201744,-717560,2318237,560521,82785,82785,0,86104,1510981,3097395,1342092,0,1342092,82785,0,82785,0,0,0,0,0
205887,13167999,1212,10768507,10769719,0,0,0,0,0,8091788,0,0,0,0,0,0,0,0,,0,0
206039,,,,,0,0,0,0,0,383776,0,0,0,0,0,0,0,0,,0,0
206224,1975872,34100,1784211,1818311,49004,49004,0,12497,0,2447898,0,0,0,0,0,0,0,0,,0,0
