UNITID,F2A01,F2B04,F2B06,F2C03,F2C04,F2C06,F2D01,F2D02,F2D03,F2D04,F2E011,F2E012
219833,27858329,2018193,0,2996950,0,17082383,26373080,0,0,0,13919831,8687139
219842,15931080,775658,0,0,0,0,2144304,0,0,0,1470871,1050024
219949,11043179,-1062746,0,643500,0,10963719,13960074,0,0,0,8357472,4556585
219976,99281947,5165030,0,0,0,29585631,85074677,0,0,0,50159842,27997378
220181,85084216,1420659,0,560874,0,9618197,5610874,0,0,0,6367032,2940395
220206,1514493,6455420,5796998,255500,0,1178458,2547135,0,0,0,1377779,911933
220215,50072723,-2592712,0,2180132,0,11494551,16596837,0,0,0,10811722,6067296
220312,4757970,905770,0,0,0,1205966,2790691,0,0,0,951693,757181
220464,439568,-96644,-482483,97160,0,0,877915,0,0,0,90161,90161
220473,120801668,-3903893,0,790675,0,819401,9947949,0,0,0,7258700,4013278
220516,39056077,-3686143,-1783068,2565876,0,12265067,29565581,0,0,0,14762047,10553393
220598,4706551,211799,0,0,0,1691728,12997627,0,0,0,5554258,2953120
220604,14371691,-586290,0,408750,0,0,8808788,0,0,0,4380617,3019057
220613,19960473,7687302,0,5548661,0,20200319,45791168,0,0,0,28306424,17699472
220631,40447057,6545706,0,2654825,0,12421609,87142234,0,0,0,52020201,23760305
220701,13800560,428269,0,0,0,8611465,10267788,0,0,0,6216122,4050255
220710,64309256,-1938556,0,57239,0,18181175,11223462,0,0,0,9032008,6037367
220792,170596170,710522,0,0,0,52177,31323534,0,0,0,23777353,16508811
220808,4575003,-1439947,0,676187,0,4672251,6425898,0,0,0,3631076,1951105
220871,10272557,-367410,0,0,0,0,1862835,0,0,0,1630723,1230232
220996,0,1007672,0,0,0,0,4564608,0,0,0,1718038,1476605
221254,0,-97345,0,309376,0,1214979,3255458,0,0,0,1459678,824673
221351,364478917,-19556168,0,0,0,35779196,42058363,183415,0,0,33205006,18222938
221519,371416836,-6960449,0,0,0,18500602,45751034,0,0,0,34534605,17863807
221661,50221621,5999972,0,0,0,13558903,41711779,0,0,0,28293449,12944527
221670,49714362,-495363,0,0,0,0,17036800,0,0,0,12339692,7800399
221731,10610165,492631,0,2621022,0,10684165,9827434,0,0,0,5840349,3846544
221892,31220170,-55844,0,2389613,0,12600692,30186149,0,0,0,16273198,9024641
221953,27650072,2720044,0,3088288,0,11938948,15593491,0,0,0,7631539,5094222
221971,37308010,4339700,0,4724079,0,23855848,48382889,0,0,0,36951303,23218115
221999,4046685606,-569261812,0,2667570,0,188426840,279766781,0,0,0,347600832,200020780
222105,7713472,-274706,0,23332,0,0,528603,0,0,0,940851,686240
222178,388122837,-26084339,0,3551361,0,47870904,62709188,0,0,0,38100676,23210218
222628,35837883,735865,0,0,0,0,5973001,0,0,0,2651967,1973796
222877,0,263327,0,0,0,130765,1935464,0,0,0,930204,619334
222983,126603124,-9513852,0,0,0,21510762,18448350,0,0,0,15472199,8538841
223001,114960016,-1619901,0,0,0,0,303874,0,0,0,2954841,1553781
223117,1218628,70616,0,0,0,0,447009,0,0,0,468141,373734
223223,1512337473,-134540468,0,0,0,17307983,17724461,0,27429515,0,129991037,75205217
223232,1198048000,-20694000,0,10871714,0,223810856,387426000,0,0,0,252719000,127688569
223463,0,-151268,-285267,0,0,403801,12649710,0,0,0,6043261,2771027
224004,19169481,-833177,0,2881958,0,14396076,30160367,0,0,0,11769525,7637588
224226,45292133,1938063,0,3826432,0,20150783,68514634,0,0,0,38456417,22806937
224244,274389,132554,0,0,0,706593,3110254,0,0,0,1020980,656141
224271,0,138031,0,0,0,0,1799385,0,0,0,528669,302332
224305,86604473,-867468,0,0,0,0,15008697,0,0,0,11717395,7270379
224323,69453000,18564000,0,1305000,0,26936000,37637000,0,0,0,22619000,13387000
224527,66615261,-9188892,0,1848638,0,8388497,14696408,0,0,0,9082272,5685698
224712,36917187,-2905054,-269720,0,0,0,365861,0,0,0,2296585,1203416
225201,0,532149,0,0,0,12104,12773785,0,0,0,3979045,2679237
225247,128995862,-19002572,0,2035164,0,13682027,21606655,0,0,0,21343537,11867742
225399,74291297,-2508785,0,2956897,0,30910598,36089637,0,0,0,20248171,12852246
225548,52168936,-8586265,0,1398428,0,8177046,12463283,0,0,0,8757562,5244884
225575,12936155,1276599,-719868,1965790,0,1578588,11384952,0,0,0,5911823,3712563
225627,91238444,11538050,0,51041,0,65617154,130247502,0,0,0,61502751,39114271
225876,2522842,-398858,0,0,0,0,1067084,0,0,0,550663,550663
225885,14285951,-1423462,0,1365968,0,0,9077022,0,0,0,3856988,2287378
226231,49498810,408007,0,2137027,0,13946882,33978646,0,0,0,20471440,12352368
226383,22257434,5031700,0,1973111,0,7831174,20706245,0,0,0,12320415,7413264
226471,110844307,1942384,0,5506228,0,19513274,63463076,0,0,0,30009523,17881808
226587,75799785,-1886062,0,1477441,0,8167895,13591358,0,0,0,8815971,5428789
226675,,,,0,0,0,1819569,0,0,0,3818340,2696701
227003,,,,0,0,0,2671052,0,0,0,1321751,392648
227289,21862526,-1234240,0,0,0,205616,1533862,0,0,0,3829235,2070339
227331,24851563,615931,0,0,0,13390199,49312735,0,0,0,25941593,11297285
227429,6913896,2554988,0,0,0,0,3287155,0,0,0,1114502,871495
227757,5777441000,-224934000,0,2336413,0,89739435,162949000,0,0,0,310373371,197464879
227845,101888216,7214701,0,4987957,0,57604432,97178682,0,0,0,39857999,21721214
227863,84694904,55758,0,14506,0,14163400,43704827,0,0,0,32181318,19319785
228042,46178327,-2097599,0,1670378,0,8220699,16854744,0,0,0,9506301,6197709
228149,169307000,-15189000,0,4693680,0,27217458,56707000,0,0,0,36971613,27013228
228194,50782649,577869,0,659836,0,1489105,26117652,0,0,0,16458774,10806582
228246,1397132000,108579000,0,4732000,0,131571000,297718000,0,0,0,174364000,111841000
228325,8822628,1044814,0,1550445,0,6547403,22213618,0,0,0,9332490,5643222
228343,226726519,-8254613,0,2516194,0,27081068,25194711,0,0,0,17487202,10043068
228468,10966233,7100451,0,788731,0,2731028,10012545,0,0,0,7284210,3677612
228486,42037,1686049,-2951172,81769,0,342823,799697,0,0,0,425375,356418
228866,3108709,525097,0,0,0,177253,8257301,77347,0,0,3337895,1925773
228875,1677250000,-34562000,0,4468392,0,123279522,261646000,0,0,0,161205000,88658478
228884,1963165,545333,0,1078738,0,684047,7903685,0,0,0,2670387,1732795
228981,96010235,-5259641,0,1697234,42490,13668261,14945328,0,0,0,11629419,6847937
229160,50113875,4214319,0,2301124,0,6563530,40233065,0,0,0,22621386,13514644
229267,1102611020,-67271649,0,1604573,230772,34533586,43937927,0,0,0,43028918,26151088
229780,84325703,2155434,0,1492832,64737,5808168,41530970,0,0,0,33995493,18941971
229887,2460548,136387,0,1486787,0,0,9160529,0,0,0,5663451,3731911
230038,2599957623,-63832245,0,0,0,4870121,188535306,0,0,0,485123853,248268523
230047,207779000,7567000,1000,0,0,5326377,10090000,0,0,0,40685000,25451001
230418,24639000,708000,-74000,9400,0,881000,5860000,0,0,0,8991000,4041000
230621,0,-2109923,-240895,0,0,0,4365866,0,0,0,1936198,1385715
230630,0,-638524,155712,0,0,0,4166740,0,0,0,1484661,1142830
230807,77492309,-3098776,0,104608,0,28351257,50008612,0,0,0,31219636,16790508
230816,24436409,3674583,0,26208,0,18480607,23557651,0,0,0,15809842,8284066
230852,40479220,4559797,0,0,0,30235401,67522248,0,0,0,27048977,15537651
230889,1081314,132048,0,0,0,129513,7738405,0,0,0,4257181,2893426
230898,4042309,-1760931,0,201431,0,10793751,10380814,0,0,0,5615454,3446894
230940,35611459,-4142731,0,0,0,3871376,4619318,0,0,0,5062617,2898460
230959,1052361000,-135587000,0,0,0,46023471,146084000,0,0,0,89065000,50969000
230995,195101000,-15013000,0,0,0,39583000,57479000,1029000,0,0,29661000,14886000
231059,84034722,-5569086,0,0,0,36756795,53297776,0,0,0,23704864,13740530
231068,44304964,-6346539,0,0,0,3087201,44834903,0,0,0,34380784,8017274
231077,2630431,-2650912,0,288999,0,0,2599196,0,0,0,2322325,1640204
231086,3336012,1561609,0,279000,0,3984261,6407671,0,0,0,2457279,1796177
231095,1003214,-334013,0,0,0,2466153,1918787,0,0,0,1897632,1072651
231147,8592377,-1510060,0,0,0,8517947,17113643,0,202000,0,13073588,7716186
231420,19783545,70545,0,334320,0,11507990,13504277,0,0,0,9163746,4650966
231554,6588306,-597255,0,1500294,0,5034451,8793039,0,0,0,3496222,2342532
231581,87224659,-3841630,0,3972010,0,32907281,21066991,0,0,0,12162766,8149491
231651,108249000,-39363000,0,0,0,18449000,72471000,0,0,0,26875400,18747600
231837,32518535,809894,0,1821932,0,3389179,19969429,0,0,0,13203146,8969676
231970,80902843,12481067,0,375700,0,240000,39302680,0,24281243,1371280,47198019,28859537
232025,85342273,-6180296,0,1864263,0,15156100,13088988,0,0,0,12752768,6880658
232043,28619744,280107,0,1537104,0,12796032,24254826,0,0,0,17578913,9963125
232089,33423897,-2237785,0,2748432,0,18807604,17608497,0,0,0,8671721,5531515
232256,156238325,-13300193,0,2300919,0,18303225,18441483,0,0,0,14873613,8693336
232265,264837261,2519134,-5038268,2007832,0,0,67521877,0,0,0,39078904,22313902
232308,162538830,-7115200,0,914450,0,9891231,9168740,0,0,0,14302010,7775566
232502,0,-789506,0,0,0,0,1893153,0,0,0,768956,416987
232557,1079503570,188512494,0,14801144,0,214121684,687302944,0,0,0,170324636,124852713
232609,102081305,-2612308,0,3824738,0,31145736,41279879,0,0,0,29153134,17984750
232618,,,,0,0,0,1079403,0,0,0,1723503,932886
232672,35614698,-2911256,0,210458,0,10284675,19980345,0,307899,0,14360163,8738632
232706,37455898,1792041,0,2619124,33300,18482934,63268896,0,0,0,31870841,18706973
232885,1506945,-1921864,2019037,0,0,0,3355423,0,0,0,3250965,2451506
233295,140407625,-8086117,0,3058281,0,25815190,23701908,0,0,0,14446487,9203397
233301,147861494,-3032003,0,1126850,0,9420191,8946602,0,0,0,10824242,6104610
233356,,,,47604,0,0,3433807,6854510,0,0,4500748,2514579
233374,2184113000,-190604000,0,1645000,0,53103000,107041000,0,0,0,80743000,50240000
233408,0,-1748089,-119502,0,0,0,3259360,1332531,257954,0,2884266,2427716
233426,93346542,-2912463,0,2945000,0,36705797,36273471,0,0,0,22916370,13969061
233480,,,,0,0,0,131578,480725,0,0,659307,406464
233541,65063923,4849479,0,3505344,0,22266645,72856090,0,0,0,41759744,23481088
233611,1176722,-92999,0,446400,0,2416223,7988711,0,0,0,3993578,2515835
233718,76460718,-7063796,0,337750,0,5687851,4333192,0,0,0,10065841,5002565
233842,134855156,-14820345,0,0,0,0,262644,0,0,0,5350611,2474530
234137,121525,288472,92231,0,0,784363,2678068,0,0,0,2987653,1364733
234164,29244908,348354,0,0,1841400,4164652,20500329,0,0,0,11114872,7135682
234173,73724007,-5171446,0,2686493,0,20062353,22698982,0,0,0,14315795,8474663
234207,1063715000,-13455000,0,0,0,21844000,57395000,0,0,0,71151000,40045000
234915,0,2655451,-1,0,0,0,30570559,0,0,0,12722910,7469111
235024,8046197,-4462243,-156896,883218,0,8215069,18366428,0,0,0,14791968,7470969
235316,222766000,16824000,0,3056000,84000,89113000,151410000,0,0,0,75317000,47535000
235422,18393576,-3525616,0,0,0,3795606,16864990,0,0,0,14835269,8218220
235547,3413031,2583604,0,828864,0,617996,34031560,0,0,0,23279049,13437611
236133,14347000,580000,0,1729000,0,11784000,20368000,0,0,0,11006000,6673000
236212,0,-227091,6936624,1806291,0,0,11200906,0,0,0,6089730,3295200
236230,94350086,-4877260,0,0,0,47488576,63003797,0,0,0,32370417,21666329
236328,311773000,-13641000,0,0,0,39131000,74956000,0,0,0,48961000,26233000
236452,17795471,-2901414,0,0,0,14223258,23061985,0,0,0,11384638,7477823
236577,141189000,2832000,0,0,0,51812000,79256000,0,0,0,43294000,23610000
236595,194181030,17827166,0,0,0,75243875,173096403,0,0,0,101798175,61558422
236896,33147656,4629986,0,1800,0,13210307,31400144,0,0,0,19122177,9601367
237057,502647490,-40024932,0,226898,0,17604620,44156104,0,0,0,30364552,17463414
237066,150068223,-1489882,0,3245711,0,41804619,48416661,0,0,0,28227948,15007969
237118,1445427,-3028903,0,1130315,0,13793084,13316525,0,0,0,6215706,4025247
237136,347402,-370881,0,120675,0,0,1459532,0,0,0,944826,649158
237145,,,,0,0,0,41600,0,0,0,403533,196649
237181,39350295,-3634845,0,263190,0,10722188,6673782,0,0,0,5591673,3201906
237312,37955074,-2495901,0,1863800,0,16313413,28103742,0,0,0,15601893,10395636
237358,30107127,10486113,0,902763,0,9407096,9728746,0,0,0,6622454,3885829
237613,,,,72052,0,0,586846,0,0,0,585516,344769
237640,1176790,400067,0,241662,36912,4042627,2479245,0,0,0,1816050,1270319
237905,,,,0,0,0,117118,0,0,0,381247,363309
237969,38212931,-1294108,0,2831365,0,22075102,15933851,0,0,0,9691861,6348307
238078,10755677,1962236,0,0,0,12553433,18360835,0,0,0,9643232,6053730
238096,,,,46314,5216,0,153874,0,0,0,318791,200680
