UNITID,TUITION1,TUITION2
152318,43122,43122
152336,27030,27030
152363,28252,28252
152381,28932,28932
152390,38080,38080
152451,.,.
152497,18460,18460
152530,31232,31232
152567,30500,30500
152600,36280,36280
152637,5122,5122
152673,40400,40400
152798,16464,16464
152992,27684,27684
153001,32210,32210
153108,34612,34612
153126,29900,29900
153144,40670,40670
153162,39675,39675
153214,4410,4410
153241,12500,12500
153250,28630,28630
153269,35060,35060
153278,27400,27400
153296,3912,3912
153302,15730,15730
153311,4768,4768
153320,16274,16274
153366,26440,26440
153375,24794,24794
153384,48322,48322
153409,15327,15327
153418,15327,15327
153427,14250,14250
153445,4572,4572
153472,3960,3960
153524,5160,5160
153533,5344,5344
153542,3600,3600
153603,7098,7098
153621,22516,22516
153630,5024,5024
153658,7128,7128
153737,4620,4620
153825,30065,30065
153834,39760,39760
153861,27000,27000
153922,3912,3912
153977,16920,16920
154004,27620,27620
154013,29496,29496
154022,10632,10632
154059,4223,4223
154095,7092,7098
154101,29300,29300
154110,4480,4480
154129,4710,4710
154156,.,.
154174,8814,8814
154235,28870,28870
154262,18900,18900
154350,35209,35209
154378,5100,5100
154396,5100,5100
154493,28140,28140
154518,20160,20160
154527,37400,37400
154536,.,.
154572,3432,3432
154590,23780,23780
154642,1800,1800
154688,27600,27600
154697,2304,2304
154712,26730,26730
154721,26010,26010
154749,26680,26680
154767,11592,11592
154776,11592,11592
154794,13810,13810
154800,2010,2340
154837,8640,8640
154855,16000,16000
154907,2070,2220
154925,1120,1120
154934,1950,2100
154952,1705,2015
154998,900,1410
155007,7875,7875
155025,4893,4893
155052,4352,4352
155061,3789,3789
155070,12500,12500
155089,26550,26550
155098,1410,1500
155104,1824,1824
155140,0,0
155177,25382,25382
155186,1768,2218
155195,2368,2688
155201,1712,1904
155210,2310,2820
155292,2580,2580
155308,6600,6600
155317,9579,9579
155335,26416,26416
155399,9012,9012
155414,28000,28000
155423,5472,5472
155450,1470,1470
155487,4290,4290
155496,14496,14496
155511,25788,25788
155520,27650,27650
155566,2144,2144
155593,3996,3996
155627,26194,26194
155636,11880,11880
155681,5396,5396
155715,1888,1888
155812,25900,25900
155830,4531,4531
155858,1760,1888
155900,27100,27100
155937,23400,23400
155973,25700,25700
156082,7644,7644
156107,5649,5649
156125,6385,6385
156189,9600,9600
156213,28432,28432
156222,.,.
156231,3744,3744
156286,37850,37850
156295,24900,24900
156338,3744,3744
156356,20500,20500
156365,24096,24096
156392,3744,3744
156408,39300,39300
156417,6480,6480
156541,22640,22640
156620,8568,8568
156648,3744,3744
156727,.,.
156745,35650,35650
156790,3744,3744
156851,3744,3744
156860,3744,3744
156921,3744,3744
157021,14832,14832
157030,6900,6900
157058,7406,7406
157076,23350,23350
157085,10173,10173
157100,18150,18150
157207,.,.
157216,23520,23520
157270,19356,19356
157289,11068,11068
157298,.,.
157304,3744,3744
157331,3744,3744
157377,23100,23100
157386,8496,8496
157401,7296,7296
157438,3744,3744
157447,9000,9000
157465,15000,15000
157483,3744,3744
157535,19600,19600
157553,3744,3744
157599,11592,11592
157696,11592,11592
157711,3744,3744
157739,3744,3744
157748,17376,17376
157757,24338,24338
157766,19800,19800
157793,19200,19200
157809,28050,28050
157818,34370,34370
157863,23640,23640
157951,9912,9912
158088,3335,3335
158325,9100,9100
158334,9450,9450
158352,3237,3237
158431,3335,3335
158477,34935,34935
158662,3335,3335
158723,9590,9590
158802,15796,15796
158884,3335,3335
159009,5140,5140
159197,10425,10425
159373,7020,7020
159382,4894,4984
159391,8038,8038
159407,2868,2868
159416,5656,5656
159568,13800,13800
159647,6401,6401
159656,36938,36938
159717,5147,5147
159939,7150,7150
159948,6840,6840
159966,4922,4922
159993,5788,5788
160010,2202,2202
160029,21126,21126
160038,5180,5180
160065,11026,11026
160074,10907,10907
160409,14601,14601
160481,3335,3335
160524,15812,15812
160579,3335,3335
160612,5652,5652
160621,4973,4973
160630,4483,4483
160649,2618,2618
160658,5407,5407
160667,3214,3214
160755,47130,47130
160904,20594,20594
160913,2202,2202
160940,10620,10620
160959,42993,42993
160977,50310,50310
161004,49416,49416
161022,9380,9380
161077,2760,2760
161086,48820,48820
161138,2760,2760
161192,2760,2760
161208,20811,20811
161217,6510,6510
161226,8352,8352
161235,6600,6600
161244,6660,6660
161253,8370,8370
161299,10050,10050
161341,6600,6600
161457,34380,34380
161484,2760,2760
161509,32192,32192
161518,33600,33600
161545,2760,2760
161554,6578,6578
161563,24468,24468
161572,26370,26370
161581,2760,2760
161688,3510,6750
161767,3240,6240
161864,2296,2296
161873,6610,6610
162007,5321,5321
162061,23472,23472
162104,3210,5910
162122,2952,5112
162168,2880,4512
162210,21800,21800
162283,4380,4380
162557,2856,6216
162584,6340,6340
162609,2884,6300
162654,42600,42600
162681,13356,13356
162690,3042,4758
162706,2976,5064
162760,36000,36000
162779,3618,5859
162928,50410,50410
163046,45030,45030
163204,6816,6816
163259,8496,8496
163268,8204,8204
163286,8315,8315
163295,43760,43760
163338,5105,5105
163426,3660,7470
163453,5161,5161
163462,37700,37700
163532,11400,11400
163578,33785,33785
163657,2520,4632
163851,6846,6846
163912,11418,11418
163976,49758,49758
164076,6560,6560
164085,.,.
164155,.,.
164173,30884,30884
164216,42844,42844
164270,40580,40580
164313,2544,5688
164368,36450,36450
164438,10920,10920
164447,33140,33140
164465,51620,51620
164474,.,.
164492,33840,33840
164562,35510,35510
164580,48288,48288
164614,11400,11400
164632,32739,32739
164641,21720,21720
164720,33672,33672
164739,44210,44210
164748,40220,40220
164775,624,624
164872,22278,22278
164915,.,.
164924,50480,50480
164988,49176,49176
165015,49586,49586
165024,910,910
165033,576,576
165112,576,576
165167,14436,14436
165194,576,576
165264,33903,33903
165334,42800,42800
165495,.,.
165529,35740,35740
165574,36660,36660
165644,30250,30250
165662,41088,41088
165671,37280,37280
165699,30612,30612
165705,.,.
165802,28645,28645
165820,970,970
165866,970,970
165884,16950,16950
165936,34528,34528
165945,.,.
165981,624,624
166018,48810,48810
166027,43280,43280
166045,24780,24780
166054,21940,21940
166124,48295,48295
166133,4272,4272
166391,32300,32300
166407,25383,25383
166452,25500,25500
166489,37900,37900
166513,13932,13932
166629,14590,14590
166638,13110,13110
166647,576,576
166656,30600,30600
166674,12200,12200
166683,48140,48140
166692,1632,1632
166708,.,.
166717,.,.
166823,576,576
166850,36625,36625
166869,53200,53200
166887,576,576
166911,29500,29500
166939,45680,45680
166948,32300,32300
166957,600,600
167057,44300,44300
167093,.,.
167215,.,.
167224,24000,24000
167251,31990,31990
167260,33000,33000
167288,1030,1030
167312,600,600
167321,18540,18540
167358,46720,46720
167376,600,600
167394,31846,31846
167455,27860,27860
167464,.,.
167525,5280,5280
167534,576,576
167598,39040,39040
167631,624,624
167677,22650,22650
167729,910,910
167783,37500,37500
167792,50600,50600
167835,47620,47620
167899,34980,34980
167905,750,750
167987,12783,12783
167996,39900,39900
168005,35440,35440
168148,51304,51304
168218,48510,48510
168227,31840,31840
168254,32524,32524
168263,970,970
168281,48694,48694
168290,33600,33600
168342,51490,51490
168421,46364,46364
168430,970,970
168528,34040,34040
168546,40570,40570
168591,36890,36890
168607,5400,6855
168740,26790,26790
168786,29564,29564
168847,9000,9000
168883,3501,6006
169080,31730,31730
169099,.,.
169187,12730,12730
169220,.,.
169248,11745,11745
169275,3128,4404
169327,17500,17500
169363,27640,27640
169424,.,.
169442,39450,39450
169479,15936,15936
169521,2985,5100
169628,.,.
169655,14994,14994
169716,39882,39882
169734,19872,19872
169761,19872,19872
169798,9690,9690
169910,11144,11144
169974,2616,4128
169983,39790,39790
169992,3410,4836
170000,11890,11890
