UNITID,EFTEUG,EFTEGD
163204,23396,7495
163259,767,2446
163268,9920,1422
163286,27217,6416
163295,1829,402
163338,3459,250
163347,861,0
163408,121,0
163426,16323,0
163453,5992,1047
163462,1837,396
163532,300,188
163541,377,0
163578,854,709
163657,7664,0
163736,744,0
163754,77,0
163815,145,0
163851,7738,547
163912,1760,52
163976,456,52
164058,693,0
164076,18010,1860
164085,0,703
164155,5660,0
164173,3185,300
164216,1514,2
164270,1714,691
164313,1856,0
164368,347,2407
164438,510,234
164447,1344,1433
164465,1914,0
164474,0,149
164492,964,241
164535,51,0
164562,2117,381
164580,2386,968
164599,35,0
164614,72,0
164632,1588,1338
164641,945,0
164678,98,0
164720,1844,7
164739,4095,823
164748,5737,383
164775,1207,0
164845,202,0
164872,258,287
164915,0,55
164924,9393,2812
164988,21224,8944
165015,4076,2718
165024,8878,944
165033,5581,0
165060,180,0
165112,8672,0
165167,747,1296
165194,2114,0
165255,161,0
165264,597,0
165334,2541,1129
165495,0,28
165529,2385,154
165556,358,0
165574,1246,0
165608,88,0
165635,310,0
165644,792,148
165662,4074,571
165671,1957,118
165699,3185,1243
165705,0,34
165750,69,0
165802,1530,22
165820,3729,1409
165866,4426,1281
165884,636,0
165936,1806,198
165945,0,1137
165981,1259,0
166009,105,0
166018,1369,0
166027,9382,13456
166045,42,88
166054,48,61
166124,3064,0
166133,4172,0
166391,1834,269
166407,149,0
166452,1649,2209
166489,40,131
166498,176,0
166513,11584,2098
166586,20,0
166595,33,0
166629,23578,3742
166638,11132,2445
166647,3220,0
166656,4529,2037
166674,1628,135
166683,4655,9385
166692,1850,67
166708,0,443
166717,0,251
166805,61,0
166823,5022,0
166850,3425,522
166869,439,791
166887,5670,0
166911,363,0
166939,2344,89
166948,1272,24
166957,2739,0
166975,65,0
166984,315,205
167039,16,0
167057,400,320
167093,0,6
167215,0,0
167224,72,0
167251,804,0
167260,1268,177
167288,1343,201
167297,204,0
167312,4283,0
167321,261,0
167358,17169,3883
167376,3871,0
167394,1185,227
167455,449,44
167464,0,53
167525,3429,0
167534,5241,0
167598,1222,498
167631,1415,0
167677,51,136
167729,6674,1164
167738,235,0
167783,1832,3586
167792,342,0
167835,2671,736
167871,139,0
167899,2140,1003
167905,4142,0
167987,6562,835
167996,2428,0
168005,5835,1102
168032,24,0
168148,6176,4172
168218,2524,0
168227,4562,227
168254,2714,366
168263,5348,837
168281,1579,0
168290,820,279
168342,640,21
168421,3544,800
168430,4730,714
168528,1610,33
168546,1434,0
168555,43,0
168573,389,0
168591,1540,0
168607,995,0
168740,1556,1309
168786,1546,65
168847,14002,403
168883,984,0
168892,64,0
169071,20,0
169080,4003,101
169099,0,191
169187,167,0
169220,0,79
169248,17441,3756
169275,5636,0
169284,283,0
169327,310,63
169363,624,98
169424,0,191
169442,1202,74
169479,4387,1108
169503,234,0
169521,6283,0
169576,81,0
169628,0,55
169655,736,0
169716,2526,886
169734,412,0
169761,136,0
169798,14929,2332
169813,21,0
169910,10687,418
169947,68,0
169974,659,0
169983,1966,284
169992,772,0
170000,647,4
170037,1830,450
170055,9400,0
170082,19980,2368
170091,129,0
170240,9196,0
170286,1478,25
170301,3470,0
170444,3694,0
170532,1513,0
170541,5575,0
170550,2965,0
170587,935,0
170611,155,0
170620,2143,0
170639,1940,1
170657,10212,0
170675,1974,841
170736,27,0
170790,14197,0
170806,2126,453
170842,537,380
170967,945,12
170976,27880,11736
171012,149,0
171100,37214,5674
171128,5691,857
171137,5800,1035
171146,5276,803
171155,3341,0
171225,1863,0
171234,1009,0
171261,65,0
171304,2886,0
171322,872,0
171395,1359,0
171456,6977,381
171465,59,0
171483,2729,0
171492,2644,540
171535,13682,0
171571,15311,1986
171599,917,13
171775,33,0
171881,222,0
171988,246,0
171997,353,0
172015,418,0
172033,108,128
172051,7653,656
172200,8930,0
172264,1920,154
172291,2451,0
172307,1571,0
172325,829,0
172334,1981,826
172422,241,0
172440,484,0
172477,0,46
172495,189,0
172608,687,952
172617,8168,0
172635,8631,0
172644,14304,4921
172671,769,0
172680,68,0
172699,16650,3104
172705,0,194
172802,78,0
172866,89,0
172918,1993,0
172927,72,0
172954,1387,0
172963,5683,0
173045,2464,614
173063,1998,0
173115,648,0
173124,4073,185
173142,548,0
173160,3008,839
173179,0,203
173203,2710,0
173258,1961,0
173300,2209,14
173328,2344,1154
173416,2004,0
173452,826,38
173461,3292,0
173470,17,0
173489,102,0
173559,4319,0
173629,558,4
173638,1858,0
173647,2357,0
173665,2404,1325
173683,0,174
173708,3739,0
173726,27,0
173735,1014,0
