UNITID,LEXPTOT
145460,
145497,
145521,273508
145558,1613821
145600,18893517
145619,1507398
145628,907705
145637,47304323
145646,2082816
145682,1161220
145691,584939
145707,
145725,7170777
145770,
145813,8797239
145831,397037
145886,
146010,
146205,303818
146241,1973479
146278,227326
146296,1021361
146339,539542
146348,357003
146366,176371
146393,183956
146418,551281
146427,1273850
146472,1691371
146481,1363643
146490,
146506,472518
146533,
146603,375564
146612,1288618
146667,378247
146676,194715
146685,996980
146700,
146719,16258785
146728,633495
146755,355800
146816,
146825,236604
147004,844425
147013,557809
147031,
147129,120937
147165,
147244,606250
147341,1546656
147369,1533244
147378,1984786
147411,681058
147536,1493734
147590,439753
147660,1256910
147679,1241618
147697,159272
147703,9119588
147749,265859
147767,41388339
147776,2960127
147800,1866969
147828,1707941
147916,1328978
148007,871711
148016,531669
148131,351247
148140,
148177,212592
148256,282311
148292,275994
148335,568323
148380,1199198
148399,
148405,366418
148487,1774077
148496,1786917
148511,5590144
148575,176400
148584,896813
148593,976525
148627,1262357
148654,2387544
148672,309989
148821,106615
148849,
148876,137500
148885,641607
148937,185537
148982,253808
148991,
149028,165194
149222,13611087
149231,4115075
149310,
149329,
149365,609065
149505,449337
149514,972975
149532,1124209
149639,109902
149727,1502482
149763,
149772,4588509
149781,3400861
149842,2067521
150048,128107
150066,1003425
150136,10888014
150145,468510
150163,3206638
150172,189422
150215,521609
150251,
150288,542455
150400,2691292
150455,1331380
150534,2084419
150604,190349
150668,666772
150677,454954
150756,704166
150774,
150941,229375
150987,4937298
151102,2962744
151111,16269988
151166,789494
151263,1316974
151290,462603
151306,2639489
151324,4465667
151333,1155575
151342,2060914
151351,46875219
151360,1400000
151379,1192796
151388,733672
151458,
151467,
151616,
151661,
151777,546161
151786,1251195
151801,2307100
151865,230567
151944,
151962,
152080,31682728
152099,204604
152248,1183302
152266,370586
152318,1004403
152336,749001
152363,439067
152381,258916
152390,1118181
152451,430937
152530,1126507
152567,327279
152600,3820676
152637,1528545
152673,994485
152798,285238
152992,268899
153001,878579
153108,827894
153126,307800
153144,1236015
153162,1275788
153214,1712096
153241,167539
153250,496921
153269,3194888
153278,698143
153296,181540
153302,204091
153311,553837
153320,125072
153366,302647
153375,551155
153384,3669244
153427,
153445,498766
153472,478354
153524,175820
153533,363493
153603,23826246
153621,
153630,404063
153658,39260832
153737,1064055
153825,521503
153834,1688724
153861,264725
153922,125835
153977,346727
154004,410000
154013,571851
154022,2098153
154059,283582
154095,7652340
154101,324980
154110,348844
154129,223648
154156,1795332
154174,1786421
154235,1828339
154262,193419
154350,805714
154378,422977
154396,186691
154493,423241
154518,248507
154527,725713
154536,164861
154572,
154590,389664
154642,
154688,512141
154697,239514
154712,438753
154721,149817
154749,331632
154767,
154776,
154794,
154800,507014
154855,
154907,128394
154925,
154934,161103
154952,150700
154998,139704
155007,
155025,1540116
155052,
155061,2238615
155070,
155089,552455
155098,
155104,178672
155140,729135
155177,156313
155186,133708
155195,211621
155201,142941
155210,1654669
155283,
155292,116305
155308,
155317,23261613
155335,263729
155399,16410258
155414,263439
155450,194760
155487,
155496,140884
155511,
155520,616689
155566,140030
155593,
155618,
155627,251098
155681,2461413
155715,
155812,240826
155830,
155858,173029
155900,404779
155937,151094
155973,203745
156082,3777260
156107,177402
156125,6050989
156134,
156189,209457
156213,710393
156222,1704663
156231,275575
156286,1477769
156295,1487954
156338,374236
156356,361766
156365,438800
156392,558402
156408,1188444
156417,100364
156471,
156541,532759
156620,5621410
156648,428450
156727,240838
156745,610887
156790,451627
156851,339446
156860,
156921,1535541
157021,
157030,
157058,1073673
157076,324928
157085,26792887
157100,287849
157207,230092
157216,426735
157270,
157289,20083832
157298,636095
157304,435323
157331,426629
157377,268650
157386,3025382
157401,2936557
157438,
157447,4798044
157465,
157483,340985
157535,922653
157553,637318
157599,
157711,391442
157739,686054
157748,1159783
157757,308000
157766,
157793,919848
157809,427619
157818,795443
157863,442982
157951,8121433
158088,
158431,582695
158440,
158477,444625
158662,3228421
158723,
158802,354191
158884,196850
159009,619792
159197,
159373,3341123
159382,331171
159391,13878412
159407,376716
159416,1458096
159568,158320
159647,2326231
159656,1752876
159717,1856795
159939,2521761
159948,886315
159966,1804557
159993,1210085
160029,126400
160038,1697500
160065,206289
160074,601206
160409,259099
160481,353550
160524,
160579,311226
160612,3782654
160621,1689434
160630,1718639
160649,435726
160658,4080956
160667,207273
160755,21150300
160904,2217897
160959,304030
160977,3711809
160995,
161004,6174439
161022,288630
161077,302202
161086,5263831
161138,220750
161192,239133
161208,
161217,753688
161226,588086
161235,335087
161244,248249
161253,9810640
161299,557510
161341,160209
161457,3606856
161484,127295
161509,175653
161518,526575
161545,414254
161554,3252689
161563,265487
161572,216176
161581,166732
161688,568663
161767,1505643
161776,
161864,1064581
161873,4878225
162007,1828490
162061,189563
162104,298212
162122,938930
162168,287000
162210,581284
162283,1344431
162557,471696
162584,2677349
162609,257447
162654,1612451
162690,348593
162706,1412007
162760,842784
162779,898688
162928,46875452
163028,
163204,2922678
163259,10233148
163268,7932658
163286,29090389
163295,840377
163338,2385534
163426,5189582
163453,4107162
163462,863432
163532,
163578,4297778
163657,1207047
163736,
163851,2861413
163912,1697359
163976,496621
164058,
164076,6201665
164085,218704
164155,3709788
164173,1120430
164216,1337869
164270,1434129
164313,363094
164368,
164438,
164447,649977
164465,6957868
164474,244741
164492,233516
164562,1510160
164580,2593891
164614,
164632,852452
164641,208492
164720,405337
164739,2339428
164748,1569692
164775,421733
164872,695303
164915,
164924,24385107
164988,24650684
165015,8686370
165024,1082720
165033,866445
165112,745646
165167,264221
165194,603334
165264,182000
165334,2848582
165495,
165529,1549411
165574,309852
165644,564846
165662,1904954
165671,1471525
165699,885121
165705,319261
165802,380542
165820,1574108
165866,1894994
165884,180532
165936,828619
165945,1341422
165981,451949
166018,1682395
166027,190116179
166045,132784
166054,899586
166124,4267134
166133,896231
166391,702291
166407,
166452,1719937
166489,111582
166513,4079633
166629,19415278
166638,5598454
166647,581007
166656,2792325
166674,983742
166683,27550916
166692,452626
166708,6794871
166717,546971
166823,645423
166850,1701155
166869,272219
166887,938290
166911,115768
166939,4048500
166948,848914
166957,428483
166984,265079
167057,811650
167093,583604
167215,1661757
167251,274256
167260,394016
167288,833607
167312,276866
167321,
167358,15180452
167376,887094
167394,728494
167455,211942
167464,151778
167525,566046
167534,950053
167598,786261
167631,506131
167729,3080023
167738,
167783,2698680
167792,369228
167835,9524020
167899,1735198
167905,786865
167987,5510932
167996,1651872
168005,4795081
168148,20433804
168218,4869131
168227,1518740
168254,3212003
168263,1444511
168281,2000320
168290,1077764
168342,6993379
168421,4257913
168430,1446080
168528,643192
168546,1329561
168591,1190778
168607,267773
168740,3100530
168786,1089192
168847,3650856
168883,303802
169080,2600296
169220,203646
169248,10004071
169275,894990
169327,
169363,218484
169424,281650
169442,643515
169479,1347441
169521,620004
169628,949687
169655,203211
169716,5267260
169798,7857587
169910,3740817
169974,321673
169983,920196
169992,127607
170000,
170037,1026037
170055,1881512
170082,11346979
170091,
170240,803972
170286,1582247
170301,2890216
170444,589244
170532,1208612
170541,1249218
170550,728019
170587,260668
170620,323915
170639,838208
170657,2180234
170675,1142778
170790,1642240
170806,1153490
170842,574062
170967,242551
170976,84977853
171100,33649380
171128,4490913
171137,2742288
171146,2521174
171155,230809
171225,896057
171234,121546
171304,1170762
171395,192680
171456,3228393
171483,468916
171492,508820
171535,2869295
171571,8617580
171599,257392
171881,210359
172033,313164
172051,2016466
172200,802604
172264,403455
172291,893721
172307,270909
172334,804681
172440,121226
172477,5389027
172608,675794
172617,1480048
172635,1749665
172644,19521624
172671,268347
172699,15599819
172705,471637
172866,
172918,125683
172954,142055
172963,649006
173045,1419373
173063,324507
173115,
173124,1911921
173142,243615
173160,1789346
173179,509016
173203,198716
173258,4692174
173300,1661677
173328,1019942
173416,301003
173452,339545
173461,304158
173489,
173559,523368
173638,402152
173647,1799511
173665,1945240
173683,107537
173708,483999
173735,
173799,501770
173805,158808
173887,107487
173896,750359
173902,3085750
173911,356514
173920,5410859
173957,11784222
173984,151733
173993,
174020,2407897
174066,49612154
174075,430924
174118,
174127,342515
174136,942427
174154,
174233,3629655
174251,998896
174358,2095241
174376,536397
174394,
174428,1432923
174437,267581
174473,333457
174491,1092817
174507,484086
174525,
174570,
174604,
174738,959722
174747,1783571
174756,314870
174783,4259657
174792,1705259
174817,1170381
174844,4101554
174862,380493
174899,1157696
174914,7329284
175005,2718387
175014,1295150
175041,327525
175078,966795
175139,223727
175157,153363
175227,192000
175236,316464
175263,
175272,2417038
175281,1355787
175315,961458
175342,1414738
175421,561921
175430,142654
175519,318855
175528,
175573,918597
175616,1645736
175643,252124
175652,407673
175786,1868030
175810,733828
175829,793518
175856,1213714
175883,506376
175935,679243
175980,580551
176008,549250
176017,15480549
176035,1103742
176044,1299542
176053,1341217
176071,1503297
176080,12702983
176169,432766
176178,1583579
176239,1118449
176318,430086
176336,
176354,250858
176372,6487491
176406,249764
176451,
176479,1083715
176600,
176619,188132
176628,587946
176664,258458
176789,110600
176910,107484
176947,111450
176965,4731549
177038,337149
177065,889472
177083,238221
177092,1618737
177117,231769
177126,378364
177135,348735
177144,264132
177214,713366
177250,321915
177278,
177302,
177339,533664
177418,908850
177472,627306
177542,382518
177551,550732
177579,
177676,651107
177719,328675
177746,298290
177816,351995
177834,2098649
177940,843242
177968,1391107
177977,238402
177986,503688
177995,2068310
178059,1227719
178110,
178183,
178208,494871
178217,201924
178244,475820
178341,1459574
178369,401571
178387,1516540
178396,20628289
178402,9327656
178411,3146701
178420,5790358
178448,248733
178518,402451
178615,3181932
178624,1426574
178679,397496
178697,534718
178721,538110
178767,
178891,
179043,794377
179070,
179159,12123576
179256,
179265,922825
179308,4805715
179317,
179326,1577726
179344,319667
179450,
179511,
179539,247835
179548,354805
179557,3873407
179566,6423917
179645,423882
179715,195311
179812,1274191
179867,36807423
179894,3708634
179919,
179946,346746
179955,380472
179964,524170
180054,124508
180106,685477
180151,
180160,170397
180179,1048957
180197,205222
180203,105359
180212,180511
180249,258585
180258,249542
180276,224603
180328,362039
180373,100697
180416,852527
180461,8949036
180489,7453240
180522,437315
180595,233904
180647,227041
180692,444552
180814,1710061
180832,447929
180878,364478
180902,564028
180948,483997
180984,209413
181002,6091391
181020,692819
181093,136716
181127,435682
181145,
181215,2852974
181297,430363
181303,1065806
181312,320782
181330,
181376,
181394,6058651
181419,
181428,4489478
181446,720269
181464,18018299
181491,315108
181534,151254
181543,
181604,353599
181640,862676
181738,640757
181765,
181783,1118836
181817,329261
181853,189168
181941,
182005,3234495
182111,119065
182148,
182281,20093170
182290,13605794
182306,262325
182458,246311
182500,878029
182564,963967
182634,612330
182670,24505074
182795,932354
182829,1562020
182917,
182980,467702
183026,3367958
183044,13931927
183062,2544900
183080,1784905
183099,756958
183105,199246
183114,214566
183123,296791
183132,284718
183141,309564
183150,344385
183211,1172428
183239,1588925
183248,
183257,148963
183275,
183488,
183600,
183655,571237
183743,2403082
183789,1618473
183804,1309105
183822,501500
183859,1126335
183877,529588
183910,820818
183938,666225
183974,186260
184180,1286549
184205,354096
184348,2534067
184481,955231
184603,1773093
184612,686778
184694,937340
184773,1230665
184782,8017237
184791,801368
184959,
184995,1780906
185129,3226030
185262,2791519
185509,629134
185536,1178461
185572,2442542
185590,5674473
185721,
185758,444462
185828,4434359
185873,1093456
186034,1180354
186122,7671520
186131,61908793
186186,
186201,2764452
186283,2955859
186371,4659172
186380,27575163
186399,7529516
186432,1008741
186469,
186584,4520481
186618,302579
186645,333792
186867,2107375
186876,3088055
186900,
187134,5609523
187198,1881246
187444,4235789
187532,1549543
