UNITID,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4 
107789,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
107831,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
107840,4,-2,-2,51,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
107877,4,-2,-2,75,1,0,1,0,0,0,0,2,-2,1,319,1,319,1,319
107974,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
107983,1,2,0,-2,1,1,0,0,0,0,0,1,367,1,367,1,367,1,367
107992,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
108056,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
108065,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
108092,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,209,1,209,1,209
108232,2,-2,-2,-2,1,1,0,0,0,0,0,2,-2,1,156,1,156,1,156
108269,3,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
108348,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
108649,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
108667,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
108807,1,4,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
108852,3,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
108861,4,-2,-2,52,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
108870,3,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
108977,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
109040,2,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
109086,3,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
109208,1,8,2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
109350,1,4,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
109651,3,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
109721,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
109730,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
109785,4,-2,-2,88,1,1,0,0,0,1,0,1,174,1,156,1,156,1,156
109819,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
109907,1,2,9,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
109934,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,2,-2,2,-2
110060,4,-2,-2,99,1,0,0,0,0,1,0,2,-2,2,-2,2,-2,2,-2
110097,4,-2,-2,88,1,1,1,0,0,0,0,2,-2,1,302,1,302,1,302
110194,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
110219,2,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
110246,1,2,8,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
110307,3,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
110316,3,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
110334,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
110361,4,-2,-2,75,1,1,0,0,0,0,0,2,-2,1,156,1,156,1,156
110370,3,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
110398,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
110404,3,-2,-2,-2,1,1,0,0,0,0,0,2,-2,1,197,1,197,1,197
110413,4,-2,-2,39,1,1,0,0,0,0,0,1,197,1,197,1,197,1,197
110422,1,2,0,-2,1,1,0,0,0,0,0,1,105,1,109,1,109,1,109
110468,2,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
110486,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,137,1,137,1,137
110495,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,138,1,138,1,138
110501,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
110510,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,138,1,138,1,138
110529,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,138,1,138,1,138
110538,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,138,1,138,1,138
110547,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,138,1,138,2,-2
110556,1,2,0,-2,1,1,0,0,0,0,0,1,203,1,203,1,203,1,203
110565,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,109,1,109,1,109
110574,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,138,1,138,1,138
110583,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,109,1,109,1,109
110592,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,138,1,138,1,138
110608,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,109,1,109,1,109
110617,1,2,0,-2,1,1,0,0,0,0,0,1,105,1,105,1,137,1,105
110635,1,2,0,-2,1,1,0,0,0,0,0,1,127,1,127,1,127,1,127
110644,1,2,0,-2,1,1,0,0,0,0,0,1,105,1,109,1,109,1,109
110653,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,109,1,109,1,109
110662,1,2,0,-2,1,1,0,0,0,0,0,1,127,1,127,1,127,1,127
110671,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,109,1,109,1,109
110680,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,141,1,141,1,141
110699,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
110705,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,109,1,109,1,109
110714,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,170,2,-2,1,170
110778,2,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
110875,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
110918,4,-2,-2,41,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
111009,2,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
111054,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
111081,3,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
111188,1,2,0,-2,1,0,1,0,0,0,0,2,-2,1,301,2,-2,2,-2
111391,3,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
111434,1,4,2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
111461,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
111513,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
111638,3,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
111708,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
111717,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
111726,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
111744,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
