UNITID,EFFYLEV,EFYTOTLT,XEYTOTLM,EFYTOTLM,EFYTOTLW
107585,2,2677,R,1068,1609
107600,1,703,R,290,413
107600,2,703,R,290,413
107619,1,2126,R,767,1359
107619,2,2126,R,767,1359
107637,1,2117,R,659,1458
107637,2,2117,R,659,1458
107655,1,57,R,3,54
107655,2,57,R,3,54
107664,1,10607,R,3876,6731
107664,2,10607,R,3876,6731
107725,1,1940,R,611,1329
107725,2,1940,R,611,1329
107743,1,1296,R,414,882
107743,2,1296,R,414,882
107789,1,156,R,11,145
107789,2,156,R,11,145
107831,1,111,R,5,106
107831,2,111,R,5,106
107840,1,394,R,169,225
107840,2,394,R,169,225
107877,1,566,R,281,285
107877,2,566,R,281,285
107974,1,2161,R,621,1540
107974,2,2161,R,621,1540
107983,1,5025,R,2545,2480
107983,2,3376,R,1468,1908
107983,4,1649,R,1077,572
107992,1,3338,R,1747,1591
107992,2,3338,R,1747,1591
108065,1,24,R,2,22
108065,2,24,R,2,22
108092,1,7703,R,3403,4300
108092,2,7688,R,3396,4292
108092,4,15,R,7,8
108232,1,17240,R,7033,10207
108232,2,11708,R,4933,6775
108232,4,5532,R,2100,3432
108269,1,137,R,44,93
108269,4,137,R,44,93
108348,1,53,R,23,30
108348,2,53,R,23,30
108649,1,267,R,8,259
108649,2,267,R,8,259
108667,1,10951,R,4723,6228
108667,2,10951,R,4723,6228
108807,1,16958,R,8616,8342
108807,2,16958,R,8616,8342
108852,1,338,R,142,196
108852,2,338,R,142,196
108861,1,82,R,53,29
108861,4,82,R,53,29
108870,1,366,R,205,161
108870,4,366,R,205,161
108977,1,162,R,82,80
108977,2,162,R,82,80
109040,1,2545,R,559,1986
109040,2,2545,R,559,1986
109086,1,123,R,73,50
109086,2,48,R,31,17
109086,4,75,R,42,33
109208,1,46579,R,23989,22590
109208,2,46579,R,23989,22590
109350,1,18654,R,7613,11041
109350,2,18654,R,7613,11041
109651,1,2778,R,1400,1378
109651,2,2535,R,1268,1267
109651,4,243,R,132,111
109721,1,513,R,193,320
109721,2,513,R,193,320
109730,1,241,R,170,71
109730,2,241,R,170,71
109785,1,11631,R,3797,7834
109785,2,6379,R,2191,4188
109785,4,5252,R,1606,3646
109819,1,28307,R,12892,15415
109819,2,28307,R,12892,15415
109907,1,4777,R,1807,2970
109907,2,4777,R,1807,2970
109934,1,275,R,35,240
109934,2,275,R,35,240
110060,1,455,R,268,187
110060,2,346,R,210,136
110060,4,109,R,58,51
110097,1,6714,R,3081,3633
110097,2,4437,R,1635,2802
110097,4,2277,R,1446,831
110194,1,354,R,353,1
110194,2,354,R,353,1
110219,1,2657,R,901,1756
110219,2,2657,R,901,1756
110246,1,14862,R,7170,7692
110246,2,14862,R,7170,7692
110307,1,338,R,53,285
110307,4,338,R,53,285
110316,1,1631,R,431,1200
110316,2,112,R,26,86
110316,4,1519,R,405,1114
