UNITID,EFFYLEV,EFYTOTLT,EFYTOTLM,EFYTOTLW
106704,4,2395,589,1806
106713,1,1019,540,479
106713,2,1019,540,479
106795,1,2226,781,1445
106795,2,2226,781,1445
106810,1,249,136,113
106810,2,249,136,113
106829,1,320,186,134
106829,2,320,186,134
106883,1,1860,709,1151
106883,2,1860,709,1151
106892,1,429,24,405
106892,2,429,24,405
106908,1,552,18,534
106908,2,552,18,534
106980,1,3506,1353,2153
106980,2,3506,1353,2153
106999,1,1796,593,1203
106999,2,1796,593,1203
107044,1,6796,2833,3963
107044,2,4889,2189,2700
107044,4,1907,644,1263
107071,1,4039,1675,2364
107071,2,3427,1489,1938
107071,4,612,186,426
107080,1,1417,672,745
107080,2,1405,664,741
107080,4,12,8,4
107099,1,45,2,43
107099,2,45,2,43
107123,1,138,18,120
107123,2,138,18,120
107141,1,3197,1299,1898
107141,2,2331,1006,1325
107141,4,866,293,573
107211,1,34,4,30
107211,2,34,4,30
107220,1,370,27,343
107220,2,370,27,343
107293,1,130,6,124
107293,2,130,6,124
107318,1,2467,940,1527
107318,2,2467,940,1527
107327,1,2033,761,1272
107327,2,2033,761,1272
107363,1,95,5,90
107363,2,95,5,90
107442,1,90,58,32
107442,2,90,58,32
107460,1,2290,949,1341
107460,2,2290,949,1341
107488,1,347,217,130
107488,2,347,217,130
107512,1,1669,823,846
107512,2,1669,823,846
107521,1,1787,713,1074
107521,2,1787,713,1074
107549,1,1565,439,1126
107549,2,1565,439,1126
107558,1,688,334,354
107558,2,688,334,354
107585,1,2677,1068,1609
107585,2,2677,1068,1609
107600,1,703,290,413
107600,2,703,290,413
107619,1,2126,767,1359
107619,2,2126,767,1359
107637,1,2117,659,1458
107637,2,2117,659,1458
107655,1,57,3,54
107655,2,57,3,54
107664,1,10607,3876,6731
107664,2,10607,3876,6731
107725,1,1940,611,1329
107725,2,1940,611,1329
107743,1,1296,414,882
107743,2,1296,414,882
107789,1,156,11,145
107789,2,156,11,145
107831,1,111,5,106
107831,2,111,5,106
107840,1,394,169,225
107840,2,394,169,225
107877,1,566,281,285
107877,2,566,281,285
107974,1,2161,621,1540
107974,2,2161,621,1540
107983,1,5025,2545,2480
107983,2,3376,1468,1908
107983,4,1649,1077,572
107992,1,3338,1747,1591
107992,2,3338,1747,1591
108065,1,24,2,22
108065,2,24,2,22
108092,1,7703,3403,4300
108092,2,7688,3396,4292
108092,4,15,7,8
108232,1,17240,7033,10207
108232,2,11708,4933,6775
108232,4,5532,2100,3432
108269,1,137,44,93
108269,4,137,44,93
108348,1,53,23,30
108348,2,53,23,30
108649,1,267,8,259
